CAN Message; 0x1d3:00004cb9e1dd0972
Timestamp;Amplitude
1739209782.4358032;-45.120503652039325
1739209782.4358037;-33.981070128970906
1739209782.4358041;-31.141103565318893
1739209782.4358048;-38.13080360867914
1739209782.4358053;-45.120503652039325
1739209782.4358058;-33.981070128970906
1739209782.4358063;-31.141103565318915
1739209782.435807;-33.981070128970906
1739209782.4358075;-45.120503652039325
1739209782.435808;-38.13080360867914
1739209782.4358084;-33.981070128970906
1739209782.4358091;-38.13080360867914
1739209782.4358096;-38.13080360867914
1739209782.43581;-38.13080360867914
1739209782.4358106;-45.120503652039325
1739209782.4358113;-45.120503652039325
1739209782.4358118;-45.120503652039325
1739209782.4358122;-45.120503652039325
1739209782.435813;-45.120503652039325
1739209782.4358134;-38.13080360867914
1739209782.435814;-35.57807855764607
1739209782.4358144;-38.13080360867914
1739209782.435815;-38.13080360867914
1739209782.4358156;-31.141103565318915
1739209782.435816;-38.13080360867914
1739209782.4358165;-45.120503652039325
1739209782.4358172;-45.120503652039325
1739209782.4358177;-45.120503652039325
1739209782.4358182;-38.13080360867914
1739209782.4358187;-45.120503652039325
1739209782.4358194;-33.981070128970906
1739209782.4358199;-31.141103565318915
1739209782.4358203;-32.816014438256545
1739209782.435821;-38.13080360867914
1739209782.4358215;-45.120503652039325
1739209782.435822;-35.57807855764607
1739209782.4358225;-38.13080360867914
1739209782.4358232;-38.13080360867914
1739209782.4358237;-35.57807855764607
1739209782.4358242;-28.992665084841942
1739209782.4358246;-30.49652367304973
1739209782.4358253;-45.120503652039325
1739209782.4358258;-38.13080360867914
1739209782.4358263;-33.981070128970906
1739209782.435827;-33.981070128970906
1739209782.4358275;-38.13080360867914
1739209782.435828;-38.13080360867914
1739209782.4358284;-38.13080360867914
1739209782.4358292;-45.120503652039325
1739209782.4358296;-45.120503652039325
1739209782.43583;-45.120503652039325
1739209782.4358306;-38.13080360867914
1739209782.4358313;-38.13080360867914
1739209782.4358318;-38.13080360867914
1739209782.4358323;-45.120503652039325
1739209782.4358327;-45.120503652039325
1739209782.4358335;-38.13080360867914
1739209782.435834;-45.120503652039325
1739209782.4358344;-45.120503652039325
1739209782.4358351;-45.120503652039325
1739209782.4358356;-35.57807855764607
1739209782.435836;-45.120503652039325
1739209782.4358366;-38.13080360867914
1739209782.4358373;-28.992665084841942
1739209782.4358377;-45.120503652039325
1739209782.4358382;-45.120503652039325
1739209782.4358387;-38.13080360867914
1739209782.4358394;-33.981070128970906
1739209782.43584;-45.120503652039325
1739209782.4358404;-38.13080360867914
1739209782.4358408;-35.57807855764607
1739209782.4358416;-32.81601443825658
