CAN Message; 0x150:000047d36d4823f8
Timestamp;Amplitude
1739209689.2041886;-38.13080360867914
1739209689.2042022;-45.120503652039325
1739209689.2042158;-45.120503652039325
1739209689.2042294;-45.120503652039325
1739209689.204243;-45.120503652039325
1739209689.2042568;-38.13080360867914
1739209689.2042704;-35.57807855764607
1739209689.204284;-33.981070128970906
1739209689.2042975;-35.57807855764607
1739209689.2043111;-38.13080360867914
1739209689.2043247;-45.120503652039325
1739209689.2043386;-26.991370085610722
1739209689.2043521;-32.816014438256545
1739209689.2043657;-45.120503652039325
1739209689.2043793;-45.120503652039325
1739209689.204393;-38.13080360867914
1739209689.2044065;-38.13080360867914
1739209689.2044203;-38.13080360867914
1739209689.204434;-38.13080360867914
1739209689.2044475;-45.120503652039325
1739209689.204461;-38.13080360867914
1739209689.2044747;-38.13080360867914
1739209689.2044883;-45.120503652039325
1739209689.204502;-38.13080360867914
1739209689.2045157;-38.13080360867914
1739209689.2045293;-45.120503652039325
1739209689.2045429;-45.120503652039325
1739209689.2045565;-27.8777449560314
1739209689.20457;-29.438486411369333
1739209689.204584;-45.120503652039325
1739209689.2045975;-45.120503652039325
1739209689.204611;-31.141103565318915
1739209689.2046247;-35.57807855764607
1739209689.2046382;-45.120503652039325
1739209689.2046518;-45.120503652039325
1739209689.2046657;-45.120503652039325
1739209689.2046793;-45.120503652039325
1739209689.2046928;-45.120503652039325
1739209689.2047064;-38.13080360867914
1739209689.20472;-45.120503652039325
1739209689.2047336;-38.13080360867914
1739209689.2047474;-45.120503652039325
1739209689.204761;-45.120503652039325
1739209689.2047746;-38.13080360867914
1739209689.2047882;-38.13080360867914
1739209689.2048018;-35.57807855764607
1739209689.2048154;-38.13080360867914
1739209689.2048292;-38.13080360867914
1739209689.2048428;-45.120503652039325
1739209689.2048564;-45.120503652039325
1739209689.20487;-45.120503652039325
1739209689.2048836;-32.816014438256545
1739209689.2048972;-32.816014438256545
1739209689.204911;-45.120503652039325
1739209689.2049246;-45.120503652039325
1739209689.2049382;-38.13080360867914
1739209689.2049518;-35.57807855764607
1739209689.2049654;-45.120503652039325
1739209689.204979;-38.13080360867914
