CAN Message; 0x1d3:00004b26ad21d818
Timestamp;Amplitude
1739209807.0953298;-45.120503652039325
1739209807.0953355;-38.13080360867914
1739209807.0953414;-38.13080360867914
1739209807.0953472;-38.13080360867914
1739209807.095353;-38.13080360867914
1739209807.0953586;-45.120503652039325
1739209807.0953646;-38.13080360867914
1739209807.0953703;-33.981070128970906
1739209807.095376;-45.120503652039325
1739209807.095382;-38.13080360867914
1739209807.0953877;-35.57807855764607
1739209807.0953934;-38.13080360867914
1739209807.0953991;-38.13080360867914
1739209807.095405;-38.13080360867914
1739209807.0954108;-38.13080360867914
1739209807.0954165;-38.13080360867914
1739209807.0954223;-45.120503652039325
1739209807.0954282;-38.13080360867914
1739209807.095434;-32.816014438256545
1739209807.0954397;-38.13080360867914
1739209807.0954456;-45.120503652039325
1739209807.0954514;-38.13080360867914
1739209807.095457;-38.13080360867914
1739209807.0954628;-45.120503652039325
1739209807.0954688;-45.120503652039325
1739209807.0954745;-33.981070128970906
1739209807.0954802;-38.13080360867914
1739209807.0954862;-32.816014438256545
1739209807.095492;-30.49652367304973
1739209807.0954976;-45.120503652039325
1739209807.0955033;-38.13080360867914
1739209807.0955093;-45.120503652039325
1739209807.095515;-35.57807855764607
1739209807.0955207;-45.120503652039325
1739209807.0955265;-35.57807855764607
1739209807.0955324;-45.120503652039325
1739209807.0955381;-45.120503652039325
1739209807.0955439;-45.120503652039325
1739209807.0955498;-45.120503652039325
1739209807.0955555;-45.120503652039325
1739209807.0955613;-45.120503652039325
1739209807.095567;-38.13080360867914
1739209807.095573;-45.120503652039325
1739209807.0955787;-38.13080360867914
1739209807.0955844;-38.13080360867914
1739209807.0955904;-45.120503652039325
1739209807.095596;-45.120503652039325
1739209807.0956018;-38.13080360867914
1739209807.0956075;-38.13080360867914
1739209807.0956135;-38.13080360867914
1739209807.0956192;-45.120503652039325
1739209807.095625;-32.816014438256545
1739209807.0956306;-29.438486411369333
1739209807.0956366;-45.120503652039325
1739209807.0956423;-45.120503652039325
1739209807.095648;-32.816014438256545
1739209807.095654;-35.57807855764607
1739209807.0956597;-38.13080360867914
1739209807.0956655;-35.57807855764607
1739209807.0956712;-45.120503652039325
1739209807.0956771;-38.13080360867914
1739209807.0956829;-38.13080360867914
1739209807.0956886;-45.120503652039325
1739209807.0956943;-45.120503652039325
1739209807.0957003;-45.120503652039325
1739209807.095706;-35.57807855764607
1739209807.0957117;-45.120503652039325
1739209807.0957177;-38.13080360867914
1739209807.0957234;-31.141103565318893
1739209807.095729;-45.120503652039325
1739209807.0957348;-35.57807855764607
1739209807.0957408;-38.13080360867914
1739209807.0957465;-45.120503652039325
1739209807.0957522;-38.13080360867914
1739209807.0957582;-32.816014438256545
1739209807.095764;-38.13080360867914
1739209807.0957696;-45.120503652039325
1739209807.0957754;-38.13080360867914
1739209807.0957813;-38.13080360867914
1739209807.095787;-38.13080360867914
1739209807.0957928;-38.13080360867914
1739209807.0957985;-45.120503652039325
1739209807.0958045;-38.13080360867914
1739209807.0958102;-38.13080360867914
1739209807.095816;-45.120503652039325
1739209807.0958219;-38.13080360867914
1739209807.0958276;-38.13080360867914
1739209807.0958333;-45.120503652039325
1739209807.095839;-45.120503652039325
1739209807.095845;-38.13080360867914
1739209807.0958507;-45.120503652039325
1739209807.0958564;-38.13080360867914
1739209807.0958624;-35.57807855764607
1739209807.095868;-38.13080360867914
1739209807.0958738;-45.120503652039325
1739209807.0958796;-38.13080360867914
