CAN Message; 0x98:0000d36f79917bc1
Timestamp;Amplitude
1739209610.1672287;-45.120503652039325
1739209610.1672308;-45.120503652039325
1739209610.1672328;-38.13080360867914
1739209610.167235;-33.981070128970906
1739209610.1672368;-45.120503652039325
1739209610.167239;-45.120503652039325
1739209610.167241;-31.141103565318893
1739209610.167243;-45.120503652039325
1739209610.1672451;-45.120503652039325
1739209610.167247;-38.13080360867914
1739209610.1672492;-32.816014438256545
1739209610.167251;-45.120503652039325
1739209610.1672533;-45.120503652039325
1739209610.1672552;-38.13080360867914
1739209610.1672573;-45.120503652039325
1739209610.1672595;-32.816014438256545
1739209610.1672614;-32.816014438256545
1739209610.1672635;-38.13080360867914
1739209610.1672654;-35.57807855764607
1739209610.1672676;-38.13080360867914
1739209610.1672695;-45.120503652039325
1739209610.1672716;-38.13080360867914
1739209610.1672735;-38.13080360867914
1739209610.1672757;-45.120503652039325
1739209610.1672778;-38.13080360867914
1739209610.1680608;-25.077289914212862
1739209610.168064;-28.992665084841942
1739209610.1680677;-38.13080360867914
1739209610.1680713;-33.981070128970906
1739209610.1680746;-32.816014438256545
1739209610.1680782;-32.816014438256545
1739209610.1680815;-45.120503652039325
1739209610.168085;-45.120503652039325
1739209610.1680887;-33.981070128970906
1739209610.168092;-31.141103565318915
1739209610.1680956;-30.49652367304973
1739209610.1680992;-33.981070128970956
1739209610.1681025;-35.57807855764607
1739209610.168106;-25.826314394896354
1739209610.1681094;-45.120503652039325
1739209610.168113;-38.13080360867914
1739209610.1681166;-28.992665084841942
1739209610.16812;-30.49652367304973
1739209610.1681235;-28.992665084841942
1739209610.168127;-38.13080360867914
1739209610.1681304;-45.120503652039325
1739209610.168134;-28.992665084841942
1739209610.1681373;-32.816014438256545
1739209610.168141;-45.120503652039325
1739209610.1681445;-27.877744956031414
1739209610.1681478;-30.49652367304973
1739209610.1681514;-45.120503652039325
1739209610.168155;-29.438486411369333
1739209610.1681583;-35.57807855764607
1739209610.1681619;-38.13080360867914
1739209610.1681652;-33.981070128970906
1739209610.1681688;-38.13080360867914
1739209610.1681724;-27.267205301931607
1739209610.1681757;-38.13080360867914
1739209610.1681793;-31.141103565318915
1739209610.1681828;-33.981070128970906
1739209610.1681862;-33.981070128970906
1739209610.1681898;-45.120503652039325
1739209610.1681933;-32.816014438256545
1739209610.1681967;-32.816014438256545
1739209610.1682003;-38.13080360867914
1739209610.1682036;-45.120503652039325
1739209610.1682072;-31.141103565318915
1739209610.1682107;-31.141103565318893
1739209610.168214;-45.120503652039325
1739209610.1682177;-28.992665084841942
1739209610.1682212;-27.8777449560314
1739209610.1682246;-33.981070128970906
1739209610.1682281;-38.13080360867914
1739209610.1682315;-38.13080360867914
1739209610.168235;-35.57807855764607
1739209610.1682386;-45.120503652039325
1739209610.168242;-33.981070128970906
1739209610.1682456;-30.49652367304973
1739209610.1682491;-45.120503652039325
1739209610.1682525;-45.120503652039325
1739209610.168256;-32.816014438256545
1739209610.1682594;-26.991370085610722
1739209610.168263;-31.141103565318915
1739209610.1682665;-35.57807855764607
1739209610.1682699;-45.120503652039325
1739209610.1682734;-45.120503652039325
1739209610.168277;-45.120503652039325
1739209610.1682804;-30.49652367304973
1739209610.168284;-33.981070128970906
1739209610.1682875;-38.13080360867914
1739209610.1682909;-25.62660358559016
1739209610.1682944;-29.438486411369333
1739209610.1682978;-38.13080360867914
1739209610.1683013;-31.14110356531892
1739209610.168305;-26.991370085610736
1739209610.1683083;-31.14110356531892
1739209610.1683118;-31.141103565318915
1739209610.1683154;-23.50682362968953
1739209610.1683187;-28.992665084841942
1739209610.1683223;-27.267205301931607
1739209610.1683257;-27.267205301931607
1739209610.1683292;-28.992665084841942
1739209610.1683328;-28.992665084841942
1739209610.1683362;-45.120503652039325
1739209610.1683397;-38.13080360867914
1739209610.1683433;-32.816014438256545
1739209610.1683466;-45.120503652039325
1739209610.1683502;-33.981070128970906
1739209610.1683536;-38.13080360867914
1739209610.1683571;-45.120503652039325
1739209610.1683607;-30.49652367304973
1739209610.168364;-31.141103565318915
1739209610.1683676;-38.13080360867914
1739209610.1683712;-24.292649948874775
1739209610.1683745;-32.81601443825658
1739209610.168378;-27.267205301931607
1739209610.1683815;-31.141103565318915
1739209610.168385;-38.13080360867914
1739209610.1683886;-33.981070128970906
1739209610.168392;-38.13080360867914
1739209610.1683955;-38.13080360867914
1739209610.168399;-45.120503652039325
1739209610.1684024;-29.438486411369347
1739209610.168406;-28.21854285175415
1739209610.1684096;-45.120503652039325
1739209610.168413;-45.120503652039325
1739209610.1684165;-32.816014438256545
1739209610.1684198;-27.8777449560314
1739209610.1684234;-27.877744956031414
1739209610.168427;-33.981070128970956
1739209610.1684303;-32.816014438256545
1739209610.168434;-29.438486411369333
1739209610.1684375;-45.120503652039325
1739209610.1684408;-45.120503652039325
1739209610.1684444;-31.141103565318915
1739209610.1684477;-27.8777449560314
1739209610.1684513;-31.14110356531892
1739209610.168455;-45.120503652039325
1739209610.1684582;-33.981070128970906
1739209610.1684618;-35.57807855764607
1739209610.1684654;-38.13080360867914
1739209610.1684687;-38.13080360867914
1739209610.1684723;-31.141103565318915
1739209610.1684756;-28.992665084841942
1739209610.1684792;-28.58837851428586
1739209610.1684828;-31.141103565318943
1739209610.168486;-38.13080360867914
1739209610.1684897;-38.13080360867914
1739209610.1684933;-38.13080360867914
1739209610.1684966;-31.141103565318915
1739209610.1685002;-38.13080360867914
1739209610.1685038;-45.120503652039325
1739209610.168507;-30.49652367304973
1739209610.1685107;-27.8777449560314
1739209610.168514;-31.141103565318915
1739209610.1685176;-45.120503652039325
1739209610.1685212;-45.120503652039325
1739209610.1685245;-45.120503652039325
1739209610.168528;-45.120503652039325
1739209610.1685317;-33.981070128970906
