CAN Message; 0x1b8:0300ba43d62d9c94
Timestamp;Amplitude
1739209759.2659311;-30.49652367304973
1739209759.265936;-38.13080360867914
1739209759.2659407;-45.120503652039325
1739209759.2659454;-38.13080360867914
1739209759.2659504;-38.13080360867914
1739209759.2659552;-45.120503652039325
1739209759.26596;-29.438486411369333
1739209759.2659647;-29.438486411369333
1739209759.2659695;-45.120503652039325
1739209759.2659745;-38.13080360867914
1739209759.2659793;-45.120503652039325
1739209759.265984;-45.120503652039325
1739209759.2659888;-45.120503652039325
1739209759.2659938;-38.13080360867914
1739209759.2659986;-45.120503652039325
1739209759.2660034;-45.120503652039325
1739209759.2660081;-45.120503652039325
1739209759.266013;-45.120503652039325
1739209759.266018;-38.13080360867914
1739209759.2660227;-32.816014438256545
1739209759.2660275;-45.120503652039325
1739209759.2660322;-45.120503652039325
1739209759.2660372;-45.120503652039325
1739209759.266042;-45.120503652039325
1739209759.2660468;-38.13080360867914
1739209759.2660515;-38.13080360867914
1739209759.2660563;-38.13080360867914
1739209759.2660613;-38.13080360867914
1739209759.266066;-38.13080360867914
1739209759.2660708;-45.120503652039325
1739209759.2660756;-38.13080360867914
1739209759.2660806;-32.816014438256545
1739209759.2660854;-45.120503652039325
1739209759.2660902;-45.120503652039325
1739209759.266095;-35.57807855764607
1739209759.2661;-33.981070128970906
1739209759.2661047;-31.141103565318915
1739209759.2661095;-45.120503652039325
1739209759.2661142;-45.120503652039325
1739209759.266119;-38.13080360867914
1739209759.266124;-38.13080360867914
1739209759.2661288;-38.13080360867914
1739209759.2661335;-38.13080360867914
1739209759.2661383;-33.981070128970906
1739209759.2661433;-38.13080360867914
1739209759.266148;-45.120503652039325
1739209759.2661529;-38.13080360867914
1739209759.2661576;-35.57807855764607
1739209759.2661624;-45.120503652039325
1739209759.2661674;-45.120503652039325
1739209759.2661722;-45.120503652039325
1739209759.266177;-38.13080360867914
1739209759.2661817;-45.120503652039325
1739209759.2661867;-45.120503652039325
1739209759.2661915;-45.120503652039325
1739209759.2661963;-38.13080360867914
1739209759.266201;-45.120503652039325
1739209759.2662058;-45.120503652039325
1739209759.2662108;-45.120503652039325
1739209759.2662156;-38.13080360867914
1739209759.2662203;-45.120503652039325
1739209759.266225;-38.13080360867914
1739209759.26623;-38.13080360867914
1739209759.2662349;-38.13080360867914
1739209759.2662396;-33.981070128970906
1739209759.2662444;-38.13080360867914
1739209759.2662494;-45.120503652039325
1739209759.2662542;-45.120503652039325
1739209759.266259;-38.13080360867914
1739209759.2662637;-38.13080360867914
1739209759.2662685;-45.120503652039325
1739209759.2662735;-38.13080360867914
1739209759.2662783;-33.981070128970906
1739209759.266283;-45.120503652039325
1739209759.2662878;-45.120503652039325
1739209759.2662928;-38.13080360867914
1739209759.2662976;-33.981070128970906
1739209759.2663023;-45.120503652039325
1739209759.266307;-38.13080360867914
1739209759.266312;-38.13080360867914
1739209759.266317;-32.816014438256545
1739209759.2663217;-45.120503652039325
1739209759.2663264;-45.120503652039325
1739209759.2663312;-45.120503652039325
1739209759.2663362;-33.981070128970906
1739209759.266341;-45.120503652039325
1739209759.2663457;-45.120503652039325
1739209759.2663505;-38.13080360867914
1739209759.2663553;-33.981070128970906
1739209759.2663603;-45.120503652039325
1739209759.266365;-45.120503652039325
1739209759.2663698;-38.13080360867914
1739209759.2663746;-38.13080360867914
1739209759.2663796;-38.13080360867914
1739209759.2663844;-33.981070128970906
1739209759.2663891;-38.13080360867914
1739209759.266394;-38.13080360867914
1739209759.266399;-38.13080360867914
1739209759.2664037;-45.120503652039325
1739209759.2664084;-45.120503652039325
1739209759.2664132;-38.13080360867914
1739209759.266418;-45.120503652039325
1739209759.266423;-38.13080360867914
1739209759.2664278;-38.13080360867914
1739209759.2664325;-38.13080360867914
1739209759.2664373;-35.57807855764607
1739209759.2664423;-38.13080360867914
1739209759.266447;-45.120503652039325
1739209759.2664518;-38.13080360867914
1739209759.2664566;-45.120503652039325
1739209759.2664614;-45.120503652039325
1739209759.2664664;-38.13080360867914
1739209759.2664711;-28.992665084841942
1739209759.266476;-45.120503652039325
1739209759.2664807;-45.120503652039325
1739209759.2664857;-38.13080360867914
1739209759.2664905;-35.57807855764607
1739209759.2664952;-38.13080360867914
1739209759.2665;-45.120503652039325
1739209759.2665048;-45.120503652039325
1739209759.2665098;-32.81601443825658
1739209759.2665145;-45.120503652039325
1739209759.2665193;-38.13080360867914
1739209759.266524;-45.120503652039325
1739209759.266529;-38.13080360867914
1739209759.2665339;-35.57807855764607
1739209759.2665386;-38.13080360867914
1739209759.2665434;-38.13080360867914
1739209759.2665484;-33.981070128970906
1739209759.2665532;-45.120503652039325
1739209759.266558;-45.120503652039325
1739209759.2665627;-45.120503652039325
1739209759.2665675;-33.981070128970906
1739209759.2665725;-38.13080360867914
1739209759.2665772;-38.13080360867914
1739209759.266582;-45.120503652039325
1739209759.2665868;-28.992665084841942
1739209759.2665918;-35.57807855764607
1739209759.2665966;-38.13080360867914
1739209759.2666013;-38.13080360867914
1739209759.266606;-38.13080360867914
1739209759.2666109;-38.13080360867914
1739209759.2666159;-38.13080360867914
1739209759.2666206;-38.13080360867914
1739209759.2666254;-38.13080360867914
1739209759.2666302;-38.13080360867914
1739209759.2666352;-38.13080360867914
1739209759.26664;-45.120503652039325
1739209759.2666447;-45.120503652039325
1739209759.2666495;-33.981070128970906
1739209759.2666543;-38.13080360867914
1739209759.2666593;-45.120503652039325
1739209759.266664;-27.267205301931607
1739209759.2666688;-31.141103565318893
1739209759.2666736;-45.120503652039325
1739209759.2666786;-45.120503652039325
1739209759.2666833;-33.981070128970906
1739209759.266688;-45.120503652039325
1739209759.2666929;-45.120503652039325
1739209759.2666976;-45.120503652039325
1739209759.2667027;-45.120503652039325
1739209759.2667074;-38.13080360867914
1739209759.2667122;-38.13080360867914
1739209759.266717;-45.120503652039325
1739209759.266722;-38.13080360867914
1739209759.2667267;-33.981070128970906
1739209759.2667315;-45.120503652039325
1739209759.2667363;-45.120503652039325
1739209759.2667413;-33.981070128970906
1739209759.266746;-35.57807855764607
1739209759.2667508;-38.13080360867914
1739209759.2667556;-45.120503652039325
1739209759.2667603;-45.120503652039325
1739209759.2667654;-33.981070128970906
1739209759.2667701;-45.120503652039325
1739209759.266775;-45.120503652039325
1739209759.2667797;-35.57807855764607
1739209759.2667847;-35.57807855764607
1739209759.2667894;-38.13080360867914
1739209759.2667942;-45.120503652039325
1739209759.266799;-38.13080360867914
1739209759.2668037;-45.120503652039325
1739209759.2668087;-45.120503652039325
1739209759.2668135;-38.13080360867914
1739209759.2668183;-45.120503652039325
1739209759.266823;-38.13080360867914
1739209759.266828;-38.13080360867914
1739209759.2668328;-38.13080360867914
1739209759.2668376;-38.13080360867914
1739209759.2668424;-33.981070128970906
1739209759.2668471;-45.120503652039325
1739209759.2668521;-45.120503652039325
1739209759.266857;-32.816014438256545
1739209759.2668617;-45.120503652039325
1739209759.2668664;-45.120503652039325
1739209759.2668715;-38.13080360867914
1739209759.2668762;-45.120503652039325
1739209759.266881;-45.120503652039325
1739209759.2668858;-45.120503652039325
1739209759.2668908;-45.120503652039325
1739209759.2668955;-45.120503652039325
1739209759.2669003;-45.120503652039325
1739209759.266905;-38.13080360867914
1739209759.2669098;-45.120503652039325
1739209759.2669148;-38.13080360867914
1739209759.2669196;-35.57807855764607
1739209759.2669244;-38.13080360867914
1739209759.2669291;-33.981070128970906
1739209759.2669342;-38.13080360867914
1739209759.266939;-38.13080360867914
1739209759.2669437;-35.57807855764607
1739209759.2669485;-32.816014438256545
1739209759.2669532;-45.120503652039325
1739209759.2669582;-45.120503652039325
1739209759.266963;-38.13080360867914
1739209759.2669678;-45.120503652039325
1739209759.2669725;-45.120503652039325
1739209759.2669775;-45.120503652039325
1739209759.2669823;-38.13080360867914
1739209759.266987;-38.13080360867914
1739209759.2669919;-45.120503652039325
1739209759.2669966;-33.981070128970906
1739209759.2670016;-38.13080360867914
1739209759.2670064;-38.13080360867914
1739209759.2670112;-38.13080360867914
1739209759.267016;-33.981070128970906
1739209759.267021;-38.13080360867914
1739209759.2670257;-45.120503652039325
1739209759.2670305;-45.120503652039325
1739209759.2670352;-38.13080360867914
1739209759.2670403;-38.13080360867914
1739209759.267045;-38.13080360867914
1739209759.2670498;-45.120503652039325
1739209759.2670546;-38.13080360867914
1739209759.2670593;-33.981070128970906
1739209759.2670643;-45.120503652039325
1739209759.267069;-45.120503652039325
1739209759.2670739;-38.13080360867914
1739209759.2670786;-38.13080360867914
1739209759.2670836;-38.13080360867914
1739209759.2670884;-35.57807855764607
1739209759.2670932;-33.981070128970906
1739209759.267098;-38.13080360867914
1739209759.2671027;-38.13080360867914
1739209759.2671077;-38.13080360867914
1739209759.2671125;-45.120503652039325
1739209759.2671173;-38.13080360867914
1739209759.267122;-35.57807855764607
1739209759.267127;-38.13080360867914
1739209759.2671318;-32.816014438256545
1739209759.2671366;-31.141103565318915
1739209759.2671413;-38.13080360867914
1739209759.267146;-45.120503652039325
1739209759.267151;-38.13080360867914
1739209759.267156;-38.13080360867914
