CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.6382787;-38.13080360867914
1739209738.6382825;-38.13080360867914
1739209738.638286;-38.13080360867914
1739209738.6382897;-35.57807855764607
1739209738.6382933;-45.120503652039325
1739209738.638297;-32.816014438256545
1739209738.6383007;-45.120503652039325
1739209738.6383042;-45.120503652039325
1739209738.638308;-38.13080360867914
1739209738.6383116;-38.13080360867914
1739209738.6383152;-38.13080360867914
1739209738.638319;-45.120503652039325
1739209738.6383226;-45.120503652039325
1739209738.6383262;-31.141103565318915
1739209738.6383297;-35.57807855764607
1739209738.6383336;-45.120503652039325
1739209738.6383371;-38.13080360867914
1739209738.6383407;-45.120503652039325
1739209738.6383445;-38.13080360867914
1739209738.638348;-38.13080360867914
1739209738.6383517;-45.120503652039325
1739209738.6383553;-45.120503652039325
1739209738.638359;-45.120503652039325
1739209738.6383626;-38.13080360867914
1739209738.6383662;-45.120503652039325
1739209738.63837;-35.57807855764607
1739209738.6383736;-35.57807855764607
1739209738.6383772;-45.120503652039325
1739209738.6383808;-45.120503652039325
1739209738.6383846;-38.13080360867914
1739209738.6383882;-38.13080360867914
1739209738.6383917;-45.120503652039325
1739209738.6383955;-38.13080360867914
1739209738.6383991;-45.120503652039325
1739209738.6384027;-45.120503652039325
1739209738.6384065;-45.120503652039325
1739209738.63841;-45.120503652039325
1739209738.6384137;-30.49652367304973
1739209738.6384172;-35.57807855764607
1739209738.638421;-45.120503652039325
1739209738.6384246;-45.120503652039325
1739209738.6384282;-33.981070128970906
1739209738.638432;-45.120503652039325
1739209738.6384356;-45.120503652039325
1739209738.6384392;-38.13080360867914
1739209738.6384428;-45.120503652039325
1739209738.6384466;-45.120503652039325
1739209738.6384501;-45.120503652039325
1739209738.6384537;-38.13080360867914
1739209738.6384575;-38.13080360867914
1739209738.638461;-35.57807855764607
1739209738.6384647;-38.13080360867914
1739209738.6384683;-45.120503652039325
1739209738.638472;-45.120503652039325
1739209738.6384757;-38.13080360867914
1739209738.6384792;-33.981070128970906
1739209738.638483;-32.816014438256545
1739209738.6384866;-45.120503652039325
1739209738.6384902;-45.120503652039325
