CAN Message; 0x1d3:0000999ca499c36a
Timestamp;Amplitude
1739209686.0540407;-28.21854285175415
1739209686.054041;-45.120503652039325
1739209686.0540411;-45.120503652039325
1739209686.0540416;-38.13080360867914
1739209686.0540419;-45.120503652039325
1739209686.054042;-38.13080360867914
1739209686.0540423;-32.816014438256545
1739209686.0540426;-45.120503652039325
1739209686.0540428;-45.120503652039325
1739209686.054043;-45.120503652039325
1739209686.0540433;-38.13080360867914
1739209686.0540435;-38.13080360867914
1739209686.0540438;-38.13080360867914
1739209686.054044;-38.13080360867914
1739209686.0540445;-45.120503652039325
1739209686.0540447;-38.13080360867914
1739209686.054045;-45.120503652039325
1739209686.0540452;-38.13080360867914
1739209686.0540454;-35.57807855764607
1739209686.0540457;-45.120503652039325
1739209686.054046;-45.120503652039325
1739209686.0540462;-45.120503652039325
1739209686.0540464;-45.120503652039325
1739209686.0540466;-35.57807855764607
1739209686.0540469;-38.13080360867914
1739209686.0540473;-38.13080360867914
1739209686.0540476;-45.120503652039325
1739209686.0540478;-32.816014438256545
1739209686.054048;-45.120503652039325
1739209686.0540483;-35.57807855764607
1739209686.0540485;-28.21854285175415
1739209686.0540488;-38.13080360867914
1739209686.054049;-38.13080360867914
1739209686.0540493;-45.120503652039325
1739209686.0540495;-35.57807855764607
1739209686.05405;-45.120503652039325
1739209686.0540502;-38.13080360867914
1739209686.0540504;-45.120503652039325
1739209686.0540507;-38.13080360867914
1739209686.054051;-45.120503652039325
1739209686.0540512;-45.120503652039325
1739209686.0540514;-38.13080360867914
1739209686.0540516;-45.120503652039325
1739209686.0540519;-38.13080360867914
1739209686.054052;-45.120503652039325
1739209686.0540524;-33.981070128970906
1739209686.0540528;-26.487275050834715
1739209686.054053;-38.13080360867914
1739209686.0540533;-45.120503652039325
1739209686.0540535;-38.13080360867914
1739209686.0540538;-32.816014438256545
1739209686.054054;-45.120503652039325
1739209686.0540543;-45.120503652039325
1739209686.0540545;-45.120503652039325
1739209686.0540547;-38.13080360867914
1739209686.054055;-45.120503652039325
1739209686.0540552;-38.13080360867914
1739209686.0540557;-38.13080360867914
1739209686.054056;-45.120503652039325
1739209686.0540562;-38.13080360867914
1739209686.0540564;-45.120503652039325
1739209686.0540566;-45.120503652039325
1739209686.054057;-30.49652367304973
1739209686.0540571;-38.13080360867914
1739209686.0540574;-38.13080360867914
1739209686.0540576;-38.13080360867914
1739209686.0540578;-35.57807855764607
1739209686.054058;-38.13080360867914
1739209686.0540586;-45.120503652039325
1739209686.0540588;-45.120503652039325
1739209686.054059;-35.57807855764607
1739209686.0540593;-38.13080360867914
1739209686.0540595;-38.13080360867914
1739209686.0540597;-38.13080360867914
1739209686.05406;-45.120503652039325
1739209686.0540602;-45.120503652039325
1739209686.0540605;-45.120503652039325
1739209686.0540607;-38.13080360867914
1739209686.054061;-30.49652367304973
1739209686.0540614;-33.981070128970906
1739209686.0540617;-45.120503652039325
1739209686.054062;-32.816014438256545
1739209686.0540621;-35.57807855764607
1739209686.0540624;-38.13080360867914
1739209686.0540626;-38.13080360867914
1739209686.0540628;-33.981070128970906
1739209686.054063;-38.13080360867914
1739209686.0540633;-45.120503652039325
1739209686.0540636;-45.120503652039325
1739209686.0540638;-33.981070128970906
1739209686.0540643;-38.13080360867914
1739209686.0540645;-38.13080360867914
1739209686.0540648;-38.13080360867914
1739209686.054065;-33.981070128970906
1739209686.0540652;-32.816014438256545
1739209686.0540655;-38.13080360867914
1739209686.0540657;-45.120503652039325
1739209686.054066;-38.13080360867914
1739209686.0540662;-38.13080360867914
1739209686.0540664;-45.120503652039325
1739209686.0540667;-45.120503652039325
1739209686.0540671;-38.13080360867914
1739209686.0540674;-38.13080360867914
1739209686.0540676;-38.13080360867914
1739209686.0540679;-45.120503652039325
1739209686.054068;-38.13080360867914
1739209686.0540683;-32.816014438256545
1739209686.0540686;-45.120503652039325
1739209686.0540688;-45.120503652039325
1739209686.054069;-45.120503652039325
1739209686.0540693;-38.13080360867914
1739209686.0540695;-38.13080360867914
1739209686.05407;-45.120503652039325
