CAN Message; 0x150:0500a55e2ebfa30b
Timestamp;Amplitude
1739209678.7921493;-38.13080360867914
1739209678.7921517;-45.120503652039325
1739209678.792154;-38.13080360867914
1739209678.7921562;-38.13080360867914
1739209678.7921586;-33.981070128970906
1739209678.792161;-45.120503652039325
1739209678.7921631;-45.120503652039325
1739209678.7921655;-35.57807855764607
1739209678.792168;-45.120503652039325
1739209678.79217;-35.57807855764607
1739209678.7921724;-38.13080360867914
1739209678.7921748;-38.13080360867914
1739209678.792177;-31.141103565318915
1739209678.7921793;-32.816014438256545
1739209678.7921817;-32.816014438256545
1739209678.7921839;-35.57807855764607
1739209678.7921863;-32.816014438256545
1739209678.7921886;-45.120503652039325
1739209678.7921908;-45.120503652039325
1739209678.7921932;-45.120503652039325
1739209678.7921956;-33.981070128970906
1739209678.7921977;-45.120503652039325
1739209678.7922;-33.981070128970956
1739209678.7922025;-32.816014438256545
1739209678.7922046;-33.981070128970906
1739209678.792207;-45.120503652039325
1739209678.7922094;-38.13080360867914
1739209678.7922115;-35.57807855764607
1739209678.792214;-45.120503652039325
1739209678.7922163;-38.13080360867914
1739209678.7922184;-30.49652367304973
1739209678.7922208;-32.816014438256545
1739209678.7922232;-38.13080360867914
1739209678.7922254;-45.120503652039325
1739209678.7922277;-35.57807855764607
1739209678.7922301;-38.13080360867914
1739209678.7922323;-38.13080360867914
1739209678.7922347;-45.120503652039325
1739209678.792237;-33.981070128970956
1739209678.7922392;-38.13080360867914
1739209678.7922416;-45.120503652039325
1739209678.792244;-45.120503652039325
1739209678.792246;-45.120503652039325
1739209678.7922485;-35.57807855764607
1739209678.7922509;-45.120503652039325
1739209678.792253;-38.13080360867914
1739209678.7922554;-28.992665084841942
1739209678.7922578;-45.120503652039325
1739209678.79226;-33.981070128970906
1739209678.7922623;-38.13080360867914
1739209678.7922647;-35.57807855764607
1739209678.7922668;-35.57807855764607
1739209678.7922692;-38.13080360867914
1739209678.7922716;-45.120503652039325
1739209678.7922738;-35.57807855764607
1739209678.7922761;-38.13080360867914
1739209678.7922785;-38.13080360867914
1739209678.7922807;-45.120503652039325
1739209678.792283;-38.13080360867914
1739209678.7922854;-35.57807855764607
1739209678.7922876;-38.13080360867914
1739209678.79229;-45.120503652039325
1739209678.7922924;-38.13080360867914
1739209678.7922945;-35.57807855764607
1739209678.792297;-35.57807855764607
1739209678.7922993;-38.13080360867914
1739209678.7923014;-45.120503652039325
1739209678.7923038;-45.120503652039325
1739209678.792306;-45.120503652039325
1739209678.7923083;-45.120503652039325
1739209678.7923107;-38.13080360867914
1739209678.7923129;-45.120503652039325
1739209678.7923152;-45.120503652039325
1739209678.7923176;-35.57807855764607
1739209678.7923198;-38.13080360867914
1739209678.7923222;-45.120503652039325
1739209678.7923245;-45.120503652039325
1739209678.7923267;-38.13080360867914
1739209678.792329;-31.14110356531892
1739209678.7923315;-45.120503652039325
1739209678.7923336;-45.120503652039325
1739209678.792336;-38.13080360867914
1739209678.7923384;-38.13080360867914
1739209678.7923405;-38.13080360867914
1739209678.792343;-38.13080360867914
1739209678.7923453;-38.13080360867914
1739209678.7923474;-28.58837851428586
1739209678.7923498;-38.13080360867914
1739209678.7923522;-38.13080360867914
1739209678.7923543;-38.13080360867914
1739209678.7923567;-38.13080360867914
1739209678.792359;-45.120503652039325
1739209678.7923613;-45.120503652039325
1739209678.7923636;-45.120503652039325
1739209678.792366;-31.141103565318915
1739209678.7923682;-38.13080360867914
1739209678.7923706;-45.120503652039325
1739209678.792373;-38.13080360867914
1739209678.792375;-38.13080360867914
1739209678.7923775;-45.120503652039325
1739209678.7923799;-45.120503652039325
1739209678.792382;-38.13080360867914
1739209678.7923844;-30.49652367304973
1739209678.7923868;-38.13080360867914
1739209678.792389;-38.13080360867914
1739209678.7923913;-45.120503652039325
1739209678.7923937;-38.13080360867914
1739209678.7923958;-35.57807855764607
1739209678.7923982;-38.13080360867914
1739209678.7924006;-35.57807855764607
1739209678.7924027;-33.981070128970906
1739209678.7924051;-33.981070128970906
1739209678.7924075;-45.120503652039325
1739209678.7924097;-32.816014438256545
1739209678.792412;-38.13080360867914
1739209678.7924144;-45.120503652039325
1739209678.7924166;-38.13080360867914
1739209678.792419;-32.816014438256545
1739209678.7924213;-38.13080360867914
1739209678.7924235;-45.120503652039325
1739209678.7924259;-45.120503652039325
1739209678.7924283;-45.120503652039325
1739209678.7924304;-45.120503652039325
1739209678.7924328;-38.13080360867914
1739209678.7924352;-38.13080360867914
1739209678.7924373;-38.13080360867914
1739209678.7924397;-45.120503652039325
1739209678.792442;-35.57807855764607
1739209678.7924442;-38.13080360867914
1739209678.7924466;-45.120503652039325
1739209678.792449;-45.120503652039325
1739209678.7924511;-38.13080360867914
1739209678.7924535;-38.13080360867914
1739209678.792456;-38.13080360867914
1739209678.792458;-33.981070128970906
1739209678.7924604;-31.141103565318915
1739209678.7924628;-38.13080360867914
1739209678.792465;-45.120503652039325
1739209678.7924674;-38.13080360867914
1739209678.7924697;-33.981070128970906
1739209678.792472;-38.13080360867914
1739209678.7924743;-45.120503652039325
1739209678.7924767;-45.120503652039325
1739209678.7924788;-38.13080360867914
1739209678.7924812;-38.13080360867914
1739209678.7924836;-45.120503652039325
1739209678.7924857;-45.120503652039325
1739209678.792488;-32.816014438256545
1739209678.7924905;-35.57807855764607
1739209678.7924926;-45.120503652039325
1739209678.792495;-33.981070128970906
1739209678.7924974;-33.981070128970906
1739209678.7924995;-38.13080360867914
1739209678.792502;-38.13080360867914
1739209678.7925043;-38.13080360867914
1739209678.7925065;-38.13080360867914
1739209678.7925088;-45.120503652039325
1739209678.7925112;-45.120503652039325
1739209678.7925134;-45.120503652039325
1739209678.7925158;-38.13080360867914
