CAN Message; 0x77:19d1fb7de98000d3
Timestamp;Amplitude
1739209726.0042603;-45.120503652039325
1739209726.0042696;-38.13080360867914
1739209726.0042787;-38.13080360867914
1739209726.0042877;-45.120503652039325
1739209726.004297;-45.120503652039325
1739209726.004306;-45.120503652039325
1739209726.0043151;-32.816014438256545
1739209726.0043244;-38.13080360867914
1739209726.0043335;-38.13080360867914
1739209726.0043426;-35.57807855764607
1739209726.0043519;-45.120503652039325
1739209726.004361;-45.120503652039325
1739209726.0043702;-38.13080360867914
1739209726.0043793;-38.13080360867914
1739209726.0043883;-45.120503652039325
1739209726.0043976;-45.120503652039325
1739209726.0044067;-45.120503652039325
1739209726.0044158;-45.120503652039325
1739209726.004425;-38.13080360867914
1739209726.004434;-38.13080360867914
1739209726.0044432;-38.13080360867914
1739209726.0044525;-45.120503652039325
1739209726.0044615;-38.13080360867914
1739209726.0044706;-32.816014438256545
1739209726.00448;-38.13080360867914
1739209726.004489;-45.120503652039325
1739209726.004498;-45.120503652039325
1739209726.0045073;-38.13080360867914
1739209726.0045164;-35.57807855764607
1739209726.0045257;-45.120503652039325
1739209726.0045347;-45.120503652039325
1739209726.0045438;-38.13080360867914
1739209726.004553;-38.13080360867914
1739209726.0045621;-38.13080360867914
1739209726.0045712;-45.120503652039325
1739209726.0045805;-45.120503652039325
1739209726.0045896;-38.13080360867914
1739209726.0045986;-38.13080360867914
1739209726.004608;-45.120503652039325
1739209726.004617;-45.120503652039325
