CAN Message; 0x24:0deb045ad871c455
Timestamp;Amplitude
1739209810.255295;-45.120503652039325
1739209810.2552989;-33.981070128970906
1739209810.2553024;-45.120503652039325
1739209810.255306;-45.120503652039325
1739209810.2553098;-38.13080360867914
1739209810.2553134;-38.13080360867914
1739209810.2553172;-38.13080360867914
1739209810.2553208;-45.120503652039325
1739209810.2553244;-33.981070128970906
1739209810.2553282;-38.13080360867914
1739209810.2553318;-45.120503652039325
1739209810.2553356;-38.13080360867914
1739209810.2553391;-38.13080360867914
1739209810.2553427;-45.120503652039325
1739209810.2553465;-38.13080360867914
1739209810.25535;-45.120503652039325
1739209810.255354;-45.120503652039325
1739209810.2553575;-38.13080360867914
1739209810.255361;-38.13080360867914
1739209810.255365;-35.57807855764607
1739209810.2553685;-38.13080360867914
1739209810.255372;-45.120503652039325
1739209810.2553759;-38.13080360867914
1739209810.2553794;-35.57807855764607
1739209810.2553833;-38.13080360867914
1739209810.2553868;-45.120503652039325
1739209810.2553904;-32.816014438256545
1739209810.2553942;-38.13080360867914
1739209810.2553978;-35.57807855764607
1739209810.2554016;-35.57807855764607
1739209810.2554052;-45.120503652039325
1739209810.2554088;-38.13080360867914
1739209810.2554126;-38.13080360867914
1739209810.2554162;-38.13080360867914
1739209810.25542;-38.13080360867914
1739209810.2554235;-35.57807855764607
1739209810.2554271;-38.13080360867914
1739209810.255431;-45.120503652039325
1739209810.2554345;-38.13080360867914
1739209810.255438;-38.13080360867914
1739209810.255442;-38.13080360867914
1739209810.2554455;-45.120503652039325
1739209810.2554493;-45.120503652039325
1739209810.2554529;-38.13080360867914
1739209810.2554564;-45.120503652039325
1739209810.2554603;-45.120503652039325
1739209810.2554638;-33.981070128970906
1739209810.2554677;-45.120503652039325
1739209810.2554712;-38.13080360867914
1739209810.2554748;-38.13080360867914
1739209810.2554786;-38.13080360867914
1739209810.2554822;-45.120503652039325
1739209810.255486;-28.58837851428586
1739209810.2554896;-32.816014438256545
1739209810.2554932;-45.120503652039325
1739209810.255497;-38.13080360867914
1739209810.2555006;-45.120503652039325
1739209810.2555041;-38.13080360867914
1739209810.255508;-45.120503652039325
1739209810.2555115;-45.120503652039325
1739209810.2555153;-38.13080360867914
1739209810.255519;-45.120503652039325
1739209810.2555225;-35.57807855764607
1739209810.2555263;-45.120503652039325
1739209810.2555299;-45.120503652039325
1739209810.2555337;-38.13080360867914
1739209810.2555373;-45.120503652039325
1739209810.2555408;-45.120503652039325
1739209810.2555447;-33.981070128970906
1739209810.2555482;-35.57807855764607
1739209810.255552;-38.13080360867914
1739209810.2555556;-45.120503652039325
1739209810.2555592;-38.13080360867914
1739209810.255563;-38.13080360867914
1739209810.2555666;-38.13080360867914
1739209810.2555702;-45.120503652039325
1739209810.255574;-29.438486411369333
1739209810.2555776;-26.991370085610736
1739209810.2555814;-45.120503652039325
1739209810.255585;-38.13080360867914
1739209810.2555885;-35.57807855764607
1739209810.2555923;-38.13080360867914
1739209810.255596;-38.13080360867914
1739209810.2555997;-35.57807855764607
1739209810.2556033;-45.120503652039325
1739209810.255607;-45.120503652039325
1739209810.2556107;-35.57807855764607
1739209810.2556143;-38.13080360867914
1739209810.255618;-38.13080360867914
1739209810.2556217;-38.13080360867914
1739209810.2556252;-38.13080360867914
1739209810.255629;-38.13080360867914
1739209810.2556326;-38.13080360867914
1739209810.2556362;-38.13080360867914
1739209810.25564;-38.13080360867914
1739209810.2556436;-33.981070128970906
1739209810.2556474;-45.120503652039325
1739209810.255651;-45.120503652039325
1739209810.2556546;-38.13080360867914
1739209810.2556584;-33.981070128970906
1739209810.255662;-38.13080360867914
1739209810.2556658;-45.120503652039325
1739209810.2556694;-38.13080360867914
1739209810.255673;-45.120503652039325
1739209810.2556767;-38.13080360867914
1739209810.2556803;-38.13080360867914
1739209810.2556841;-45.120503652039325
1739209810.2556877;-45.120503652039325
1739209810.2556913;-45.120503652039325
