CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.6921883;-38.13080360867914
1739209828.6921957;-45.120503652039325
1739209828.6922033;-33.981070128970906
1739209828.692211;-45.120503652039325
1739209828.6922183;-45.120503652039325
1739209828.692226;-45.120503652039325
1739209828.6922336;-38.13080360867914
1739209828.6922412;-38.13080360867914
1739209828.6922486;-45.120503652039325
1739209828.6922562;-38.13080360867914
1739209828.6922638;-38.13080360867914
1739209828.6922712;-45.120503652039325
1739209828.6922789;-45.120503652039325
1739209828.6922865;-33.981070128970906
1739209828.692294;-33.981070128970906
1739209828.6923015;-29.438486411369333
1739209828.6923091;-32.816014438256545
1739209828.6923165;-38.13080360867914
1739209828.6923242;-33.981070128970906
1739209828.6923318;-45.120503652039325
1739209828.6923392;-45.120503652039325
1739209828.6923468;-38.13080360867914
1739209828.6923544;-35.57807855764607
1739209828.6923618;-38.13080360867914
1739209828.6923695;-45.120503652039325
1739209828.692377;-32.816014438256545
1739209828.6923845;-35.57807855764607
1739209828.692392;-45.120503652039325
1739209828.6923997;-38.13080360867914
1739209828.6924074;-38.13080360867914
1739209828.6924148;-45.120503652039325
1739209828.6924224;-32.816014438256545
1739209828.69243;-32.816014438256545
1739209828.6924374;-45.120503652039325
1739209828.692445;-45.120503652039325
1739209828.6924527;-45.120503652039325
1739209828.69246;-45.120503652039325
1739209828.6924677;-45.120503652039325
1739209828.6924753;-45.120503652039325
1739209828.6924827;-45.120503652039325
1739209828.6924903;-45.120503652039325
1739209828.692498;-32.816014438256545
1739209828.6925054;-32.816014438256545
1739209828.692513;-38.13080360867914
1739209828.6925206;-32.816014438256545
1739209828.692528;-45.120503652039325
1739209828.6925356;-38.13080360867914
1739209828.6925433;-38.13080360867914
1739209828.6925507;-45.120503652039325
1739209828.6925583;-45.120503652039325
1739209828.692566;-38.13080360867914
1739209828.6925735;-38.13080360867914
1739209828.692581;-38.13080360867914
1739209828.6925886;-38.13080360867914
1739209828.6925962;-45.120503652039325
1739209828.6926036;-30.49652367304973
1739209828.6926112;-32.816014438256545
1739209828.6926188;-45.120503652039325
1739209828.6926262;-45.120503652039325
1739209828.6926339;-32.816014438256545
1739209828.6926415;-33.981070128970906
1739209828.692649;-45.120503652039325
1739209828.6926565;-38.13080360867914
1739209828.6926641;-45.120503652039325
1739209828.6926715;-38.13080360867914
1739209828.6926792;-45.120503652039325
1739209828.6926868;-45.120503652039325
1739209828.6926942;-38.13080360867914
1739209828.6927018;-33.981070128970906
1739209828.6927094;-38.13080360867914
1739209828.692717;-45.120503652039325
1739209828.6927245;-35.57807855764607
1739209828.692732;-35.57807855764607
1739209828.6927397;-45.120503652039325
1739209828.692747;-45.120503652039325
1739209828.6927547;-38.13080360867914
1739209828.6927624;-38.13080360867914
1739209828.6927698;-45.120503652039325
