CAN Message; 0x1a7:0000045c1fd8a93d
Timestamp;Amplitude
1739209848.848342;-38.13080360867914
1739209848.8483438;-38.13080360867914
1739209848.848346;-28.58837851428586
1739209848.8483481;-38.13080360867914
1739209848.84835;-45.120503652039325
1739209848.8483522;-38.13080360867914
1739209848.8483543;-32.816014438256545
1739209848.8483562;-38.13080360867914
1739209848.8483584;-38.13080360867914
1739209848.8483605;-45.120503652039325
1739209848.8483624;-38.13080360867914
1739209848.8483646;-45.120503652039325
1739209848.8483667;-45.120503652039325
1739209848.8483686;-45.120503652039325
1739209848.8483708;-45.120503652039325
1739209848.848373;-38.13080360867914
1739209848.8483748;-38.13080360867914
1739209848.848377;-38.13080360867914
1739209848.8483791;-30.49652367304973
1739209848.848381;-38.13080360867914
1739209848.8483832;-45.120503652039325
1739209848.8483853;-38.13080360867914
1739209848.8483872;-35.57807855764607
1739209848.8483894;-38.13080360867914
1739209848.8483915;-45.120503652039325
1739209848.8483934;-38.13080360867914
1739209848.8483956;-35.57807855764607
1739209848.8483977;-45.120503652039325
1739209848.8483996;-38.13080360867914
1739209848.8484018;-38.13080360867914
1739209848.848404;-38.13080360867914
1739209848.8484058;-38.13080360867914
1739209848.848408;-45.120503652039325
1739209848.8484101;-38.13080360867914
1739209848.848412;-38.13080360867914
1739209848.8484142;-45.120503652039325
1739209848.8484163;-35.57807855764607
1739209848.8484182;-38.13080360867914
1739209848.8484204;-45.120503652039325
1739209848.8484225;-45.120503652039325
1739209848.8484244;-45.120503652039325
1739209848.8484266;-45.120503652039325
1739209848.8484287;-26.991370085610736
1739209848.8484306;-31.141103565318893
1739209848.8484328;-45.120503652039325
1739209848.848435;-38.13080360867914
1739209848.8484368;-35.57807855764607
1739209848.848439;-38.13080360867914
1739209848.8484411;-45.120503652039325
1739209848.848443;-38.13080360867914
1739209848.8484452;-45.120503652039325
1739209848.8484473;-45.120503652039325
1739209848.8484492;-45.120503652039325
1739209848.8484514;-45.120503652039325
1739209848.8484535;-45.120503652039325
1739209848.8484554;-45.120503652039325
1739209848.8484576;-38.13080360867914
1739209848.8484597;-45.120503652039325
1739209848.8484616;-45.120503652039325
1739209848.8484638;-38.13080360867914
1739209848.848466;-38.13080360867914
1739209848.8484678;-45.120503652039325
1739209848.84847;-45.120503652039325
1739209848.848472;-45.120503652039325
1739209848.848474;-45.120503652039325
1739209848.8484762;-45.120503652039325
1739209848.8484783;-38.13080360867914
1739209848.8484802;-35.57807855764607
1739209848.8484824;-45.120503652039325
1739209848.8484845;-45.120503652039325
1739209848.8484864;-45.120503652039325
1739209848.8484886;-33.981070128970906
1739209848.8484907;-45.120503652039325
1739209848.8484926;-38.13080360867914
1739209848.8484948;-45.120503652039325
1739209848.848497;-45.120503652039325
1739209848.8484988;-45.120503652039325
1739209848.848501;-45.120503652039325
1739209848.848503;-45.120503652039325
1739209848.848505;-45.120503652039325
1739209848.8485072;-38.13080360867914
1739209848.8485093;-38.13080360867914
1739209848.8485112;-32.816014438256545
1739209848.8485134;-32.816014438256545
1739209848.8485155;-45.120503652039325
1739209848.8485174;-38.13080360867914
1739209848.8485196;-35.57807855764607
1739209848.8485217;-35.57807855764607
1739209848.8485236;-45.120503652039325
1739209848.8485258;-45.120503652039325
1739209848.848528;-38.13080360867914
1739209848.84853;-45.120503652039325
1739209848.848532;-45.120503652039325
1739209848.848534;-45.120503652039325
1739209848.8485363;-45.120503652039325
1739209848.8485382;-38.13080360867914
1739209848.8485403;-38.13080360867914
1739209848.8485425;-38.13080360867914
1739209848.8485444;-32.816014438256545
1739209848.8485465;-38.13080360867914
1739209848.8485487;-45.120503652039325
1739209848.8485506;-45.120503652039325
1739209848.8485527;-38.13080360867914
1739209848.8485548;-38.13080360867914
1739209848.8485568;-45.120503652039325
1739209848.848559;-45.120503652039325
1739209848.848561;-35.57807855764607
1739209848.848563;-45.120503652039325
1739209848.848565;-45.120503652039325
1739209848.8485672;-38.13080360867914
1739209848.8485692;-38.13080360867914
1739209848.8485713;-38.13080360867914
1739209848.8485734;-45.120503652039325
1739209848.8485754;-45.120503652039325
1739209848.8485775;-38.13080360867914
1739209848.8485796;-45.120503652039325
1739209848.8485816;-38.13080360867914
1739209848.8485837;-38.13080360867914
1739209848.8485858;-35.57807855764607
1739209848.8485878;-38.13080360867914
1739209848.84859;-38.13080360867914
1739209848.848592;-38.13080360867914
1739209848.848594;-38.13080360867914
1739209848.848596;-33.981070128970906
1739209848.8485982;-38.13080360867914
1739209848.8486001;-45.120503652039325
1739209848.8486023;-45.120503652039325
1739209848.8486044;-35.57807855764607
1739209848.8486063;-33.981070128970906
1739209848.8486085;-38.13080360867914
1739209848.8486106;-45.120503652039325
1739209848.8486125;-45.120503652039325
1739209848.8486147;-33.981070128970906
1739209848.8486168;-33.981070128970906
1739209848.8486187;-45.120503652039325
1739209848.848621;-45.120503652039325
1739209848.848623;-45.120503652039325
1739209848.848625;-45.120503652039325
1739209848.848627;-45.120503652039325
1739209848.8486292;-35.57807855764607
1739209848.8486311;-38.13080360867914
1739209848.8486333;-38.13080360867914
1739209848.8486354;-35.57807855764607
1739209848.8486373;-35.57807855764607
1739209848.8486395;-38.13080360867914
1739209848.8486416;-38.13080360867914
1739209848.8486435;-38.13080360867914
1739209848.8486457;-38.13080360867914
1739209848.8486478;-45.120503652039325
1739209848.8486497;-45.120503652039325
1739209848.848652;-38.13080360867914
1739209848.848654;-45.120503652039325
1739209848.848656;-45.120503652039325
1739209848.848658;-38.13080360867914
1739209848.8486602;-38.13080360867914
1739209848.8486621;-32.816014438256545
1739209848.8486643;-35.57807855764607
1739209848.8486664;-38.13080360867914
1739209848.8486683;-35.57807855764607
1739209848.8486705;-35.57807855764607
1739209848.8486726;-33.981070128970906
1739209848.8486745;-45.120503652039325
1739209848.8486767;-38.13080360867914
1739209848.8486788;-35.57807855764607
1739209848.8486807;-38.13080360867914
1739209848.8486829;-45.120503652039325
1739209848.848685;-35.57807855764607
1739209848.848687;-38.13080360867914
1739209848.848689;-38.13080360867914
1739209848.8486912;-38.13080360867914
1739209848.8486931;-35.57807855764607
1739209848.8486953;-38.13080360867914
1739209848.8486974;-45.120503652039325
1739209848.8486993;-45.120503652039325
1739209848.8487015;-45.120503652039325
1739209848.8487036;-38.13080360867914
1739209848.8487055;-38.13080360867914
1739209848.8487077;-33.981070128970906
1739209848.8487098;-45.120503652039325
1739209848.8487117;-38.13080360867914
1739209848.8487139;-29.438486411369333
1739209848.848716;-38.13080360867914
1739209848.848718;-45.120503652039325
1739209848.84872;-45.120503652039325
1739209848.8487222;-38.13080360867914
1739209848.8487241;-38.13080360867914
1739209848.8487263;-38.13080360867914
1739209848.8487284;-45.120503652039325
1739209848.8487303;-38.13080360867914
1739209848.8487325;-45.120503652039325
1739209848.8487346;-38.13080360867914
1739209848.8487365;-38.13080360867914
1739209848.8487387;-45.120503652039325
1739209848.8487408;-45.120503652039325
1739209848.848743;-45.120503652039325
1739209848.8487449;-38.13080360867914
1739209848.848747;-27.8777449560314
1739209848.8487492;-35.57807855764607
