CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.8143296;-45.120503652039325
1739209717.8143337;-45.120503652039325
1739209717.8143377;-45.120503652039325
1739209717.8143418;-35.57807855764607
1739209717.8143458;-45.120503652039325
1739209717.8143497;-35.57807855764607
1739209717.8143537;-45.120503652039325
1739209717.8143578;-38.13080360867914
1739209717.8143618;-38.13080360867914
1739209717.8143659;-45.120503652039325
1739209717.81437;-45.120503652039325
1739209717.814374;-45.120503652039325
1739209717.8143778;-38.13080360867914
1739209717.8143818;-45.120503652039325
1739209717.814386;-45.120503652039325
1739209717.81439;-45.120503652039325
1739209717.814394;-45.120503652039325
1739209717.814398;-45.120503652039325
1739209717.814402;-45.120503652039325
1739209717.814406;-45.120503652039325
1739209717.81441;-38.13080360867914
1739209717.814414;-45.120503652039325
1739209717.814418;-35.57807855764607
1739209717.8144221;-31.141103565318893
1739209717.8144262;-38.13080360867914
1739209717.8144302;-38.13080360867914
1739209717.814434;-45.120503652039325
1739209717.814438;-38.13080360867914
1739209717.8144422;-45.120503652039325
1739209717.8144462;-38.13080360867914
1739209717.8144503;-45.120503652039325
1739209717.8144543;-35.57807855764607
1739209717.8144584;-45.120503652039325
1739209717.8144622;-45.120503652039325
1739209717.8144662;-45.120503652039325
1739209717.8144703;-38.13080360867914
1739209717.8144743;-35.57807855764607
1739209717.8144784;-35.57807855764607
1739209717.8144825;-35.57807855764607
1739209717.8144865;-26.991370085610736
1739209717.8144903;-38.13080360867914
1739209717.8144944;-45.120503652039325
1739209717.8144984;-38.13080360867914
1739209717.8145025;-38.13080360867914
1739209717.8145065;-38.13080360867914
1739209717.8145106;-45.120503652039325
1739209717.8145144;-45.120503652039325
1739209717.8145185;-38.13080360867914
1739209717.8145225;-45.120503652039325
1739209717.8145266;-45.120503652039325
1739209717.8145306;-35.57807855764607
1739209717.8145347;-32.816014438256545
1739209717.8145387;-45.120503652039325
1739209717.8145425;-38.13080360867914
1739209717.8145466;-45.120503652039325
1739209717.8145506;-45.120503652039325
1739209717.8145547;-38.13080360867914
1739209717.8145587;-38.13080360867914
1739209717.8145628;-38.13080360867914
1739209717.8145669;-38.13080360867914
1739209717.8145707;-32.816014438256545
1739209717.8145747;-45.120503652039325
1739209717.8145788;-35.57807855764607
1739209717.8145828;-31.141103565318893
1739209717.8145869;-38.13080360867914
1739209717.814591;-45.120503652039325
1739209717.814595;-38.13080360867914
1739209717.8145988;-33.981070128970906
1739209717.8146029;-45.120503652039325
1739209717.814607;-45.120503652039325
1739209717.814611;-33.981070128970906
1739209717.814615;-45.120503652039325
1739209717.814619;-45.120503652039325
1739209717.814623;-45.120503652039325
1739209717.814627;-45.120503652039325
1739209717.814631;-38.13080360867914
1739209717.814635;-45.120503652039325
1739209717.814639;-45.120503652039325
