CAN Message; 0x150:0000a4ea39d64581
Timestamp;Amplitude
1739209818.994003;-45.120503652039325
1739209818.9940112;-45.120503652039325
1739209818.9940193;-32.816014438256545
1739209818.9940274;-45.120503652039325
1739209818.9940355;-35.57807855764607
1739209818.9940436;-28.21854285175415
1739209818.9940517;-45.120503652039325
1739209818.9940596;-45.120503652039325
1739209818.9940677;-38.13080360867914
1739209818.9940758;-38.13080360867914
1739209818.994084;-38.13080360867914
1739209818.994092;-32.816014438256545
1739209818.9941;-45.120503652039325
1739209818.9941082;-45.120503652039325
1739209818.9941163;-32.816014438256545
1739209818.9941244;-38.13080360867914
1739209818.9941325;-45.120503652039325
1739209818.9941406;-38.13080360867914
1739209818.9941487;-38.13080360867914
1739209818.9941568;-45.120503652039325
1739209818.994165;-45.120503652039325
1739209818.994173;-45.120503652039325
1739209818.994181;-45.120503652039325
1739209818.994189;-45.120503652039325
1739209818.9941971;-45.120503652039325
1739209818.9942052;-45.120503652039325
1739209818.9942133;-45.120503652039325
1739209818.9942214;-45.120503652039325
1739209818.9942296;-38.13080360867914
1739209818.9942377;-32.816014438256545
1739209818.9942458;-38.13080360867914
1739209818.9942539;-45.120503652039325
1739209818.994262;-38.13080360867914
1739209818.99427;-32.816014438256545
1739209818.9942782;-45.120503652039325
1739209818.9942863;-45.120503652039325
1739209818.9942944;-33.981070128970906
1739209818.9943025;-45.120503652039325
1739209818.9943104;-45.120503652039325
1739209818.9943185;-45.120503652039325
1739209818.9943266;-38.13080360867914
1739209818.9943347;-45.120503652039325
1739209818.9943428;-38.13080360867914
1739209818.994351;-45.120503652039325
1739209818.994359;-35.57807855764607
1739209818.9943671;-26.487275050834715
1739209818.9943752;-38.13080360867914
1739209818.9943833;-38.13080360867914
1739209818.9943914;-33.981070128970906
1739209818.9943995;-35.57807855764607
1739209818.9944077;-45.120503652039325
1739209818.9944158;-45.120503652039325
1739209818.9944239;-38.13080360867914
1739209818.9944317;-45.120503652039325
1739209818.9944398;-45.120503652039325
1739209818.994448;-45.120503652039325
1739209818.994456;-38.13080360867914
1739209818.9944642;-38.13080360867914
1739209818.9944723;-45.120503652039325
1739209818.9944804;-45.120503652039325
1739209818.9944885;-38.13080360867914
