CAN Message; 0x1bb:0000f8090f41031c
Timestamp;Amplitude
1739209741.180089;-45.120503652039325
1739209741.1800902;-35.57807855764607
1739209741.1800916;-38.13080360867914
1739209741.1800928;-35.57807855764607
1739209741.180094;-33.981070128970906
1739209741.1800954;-38.13080360867914
1739209741.1800966;-45.120503652039325
1739209741.1800978;-38.13080360867914
1739209741.1800992;-45.120503652039325
1739209741.1801004;-45.120503652039325
1739209741.1801016;-38.13080360867914
1739209741.180103;-33.981070128970906
1739209741.1801043;-45.120503652039325
1739209741.1801054;-45.120503652039325
1739209741.1801069;-38.13080360867914
1739209741.180108;-38.13080360867914
1739209741.1801095;-38.13080360867914
1739209741.1801107;-45.120503652039325
1739209741.180112;-45.120503652039325
1739209741.1801133;-38.13080360867914
1739209741.1801145;-38.13080360867914
1739209741.1801157;-38.13080360867914
1739209741.1801171;-45.120503652039325
1739209741.1801183;-35.57807855764607
1739209741.1801195;-45.120503652039325
1739209741.180121;-45.120503652039325
1739209741.1801221;-45.120503652039325
1739209741.1801236;-45.120503652039325
1739209741.1801248;-38.13080360867914
1739209741.180126;-45.120503652039325
1739209741.1801274;-38.13080360867914
1739209741.1801286;-38.13080360867914
1739209741.1801298;-45.120503652039325
1739209741.1801312;-38.13080360867914
1739209741.1801324;-38.13080360867914
1739209741.1801336;-38.13080360867914
1739209741.180135;-45.120503652039325
1739209741.1801362;-33.981070128970906
1739209741.1801376;-35.57807855764607
1739209741.1801388;-45.120503652039325
1739209741.18014;-38.13080360867914
1739209741.1801414;-38.13080360867914
1739209741.1801426;-35.57807855764607
1739209741.1801438;-38.13080360867914
1739209741.1801453;-38.13080360867914
1739209741.1801465;-45.120503652039325
1739209741.1801476;-45.120503652039325
1739209741.180149;-45.120503652039325
1739209741.1801503;-38.13080360867914
1739209741.1801515;-35.57807855764607
1739209741.180153;-38.13080360867914
1739209741.180154;-38.13080360867914
1739209741.1801555;-45.120503652039325
1739209741.1801567;-33.981070128970906
1739209741.180158;-33.981070128970906
1739209741.1801593;-38.13080360867914
1739209741.1801605;-45.120503652039325
1739209741.1801617;-38.13080360867914
1739209741.1801631;-38.13080360867914
1739209741.1801643;-45.120503652039325
1739209741.1801655;-45.120503652039325
1739209741.180167;-45.120503652039325
1739209741.1801682;-38.13080360867914
1739209741.1801696;-35.57807855764607
1739209741.1801708;-38.13080360867914
1739209741.180172;-45.120503652039325
1739209741.1801734;-45.120503652039325
1739209741.1801746;-33.981070128970906
1739209741.1801758;-38.13080360867914
1739209741.1801772;-38.13080360867914
1739209741.1801784;-45.120503652039325
1739209741.1801796;-38.13080360867914
1739209741.180181;-45.120503652039325
1739209741.1801822;-38.13080360867914
1739209741.1801836;-32.816014438256545
1739209741.1801848;-45.120503652039325
1739209741.180186;-35.57807855764607
1739209741.1801875;-45.120503652039325
1739209741.1801887;-38.13080360867914
1739209741.1801898;-45.120503652039325
1739209741.1801913;-38.13080360867914
1739209741.1801925;-45.120503652039325
1739209741.1801937;-33.981070128970906
1739209741.180195;-35.57807855764607
1739209741.1801963;-38.13080360867914
1739209741.1801975;-38.13080360867914
1739209741.180199;-33.981070128970906
1739209741.1802;-45.120503652039325
1739209741.1802015;-38.13080360867914
1739209741.1802027;-35.57807855764607
1739209741.180204;-38.13080360867914
1739209741.1802053;-35.57807855764607
1739209741.1802065;-45.120503652039325
1739209741.1802077;-31.141103565318915
1739209741.1802092;-33.981070128970906
1739209741.1802104;-38.13080360867914
1739209741.1802115;-45.120503652039325
1739209741.180213;-45.120503652039325
1739209741.1802142;-45.120503652039325
1739209741.1802156;-38.13080360867914
1739209741.1802168;-38.13080360867914
1739209741.180218;-33.981070128970906
1739209741.1802194;-31.141103565318915
1739209741.1802206;-38.13080360867914
1739209741.1802218;-38.13080360867914
1739209741.1802232;-38.13080360867914
1739209741.1802244;-38.13080360867914
1739209741.1802256;-45.120503652039325
1739209741.180227;-38.13080360867914
1739209741.1802282;-33.981070128970906
1739209741.1802297;-30.49652367304973
1739209741.1802309;-38.13080360867914
1739209741.180232;-38.13080360867914
1739209741.1802335;-33.981070128970906
1739209741.1802347;-45.120503652039325
1739209741.1802359;-45.120503652039325
1739209741.1802373;-35.57807855764607
1739209741.1802385;-38.13080360867914
1739209741.1802397;-31.141103565318915
1739209741.180241;-38.13080360867914
1739209741.1802423;-38.13080360867914
1739209741.1802437;-38.13080360867914
1739209741.180245;-38.13080360867914
1739209741.180246;-45.120503652039325
1739209741.1802475;-45.120503652039325
1739209741.1802487;-45.120503652039325
1739209741.18025;-38.13080360867914
1739209741.1802514;-45.120503652039325
1739209741.1802526;-45.120503652039325
1739209741.1802537;-38.13080360867914
1739209741.1802552;-38.13080360867914
1739209741.1802564;-45.120503652039325
1739209741.1802576;-45.120503652039325
1739209741.180259;-45.120503652039325
1739209741.1802602;-45.120503652039325
1739209741.1802616;-45.120503652039325
1739209741.1802628;-45.120503652039325
1739209741.180264;-38.13080360867914
1739209741.1802654;-45.120503652039325
1739209741.1802666;-45.120503652039325
1739209741.1802678;-35.57807855764607
1739209741.1802692;-35.57807855764607
1739209741.1802704;-31.141103565318915
1739209741.1802716;-38.13080360867914
1739209741.180273;-38.13080360867914
1739209741.1802742;-38.13080360867914
1739209741.1802757;-38.13080360867914
1739209741.1802769;-38.13080360867914
1739209741.180278;-38.13080360867914
1739209741.1802795;-35.57807855764607
1739209741.1802807;-35.57807855764607
1739209741.1802819;-45.120503652039325
1739209741.1802833;-38.13080360867914
1739209741.1802845;-45.120503652039325
1739209741.1802857;-45.120503652039325
1739209741.1802871;-38.13080360867914
1739209741.1802883;-38.13080360867914
1739209741.1802897;-45.120503652039325
1739209741.180291;-30.49652367304973
1739209741.1802921;-31.141103565318893
1739209741.1802936;-45.120503652039325
1739209741.1802948;-45.120503652039325
1739209741.180296;-33.981070128970906
1739209741.1802974;-45.120503652039325
1739209741.1802986;-45.120503652039325
1739209741.1802998;-38.13080360867914
1739209741.1803012;-38.13080360867914
1739209741.1803024;-38.13080360867914
1739209741.1803036;-38.13080360867914
1739209741.180305;-38.13080360867914
1739209741.1803062;-45.120503652039325
1739209741.1803076;-35.57807855764607
1739209741.1803088;-38.13080360867914
1739209741.18031;-45.120503652039325
1739209741.1803114;-28.992665084841942
1739209741.1803126;-31.141103565318893
1739209741.1803138;-38.13080360867914
1739209741.1803153;-45.120503652039325
1739209741.1803164;-38.13080360867914
1739209741.1803176;-45.120503652039325
1739209741.180319;-38.13080360867914
1739209741.1803203;-45.120503652039325
1739209741.1803217;-45.120503652039325
1739209741.180323;-45.120503652039325
1739209741.180324;-45.120503652039325
1739209741.1803255;-45.120503652039325
1739209741.1803267;-38.13080360867914
1739209741.180328;-45.120503652039325
1739209741.1803293;-38.13080360867914
1739209741.1803305;-45.120503652039325
1739209741.1803317;-45.120503652039325
1739209741.1803331;-38.13080360867914
1739209741.1803343;-45.120503652039325
1739209741.1803358;-38.13080360867914
1739209741.180337;-45.120503652039325
1739209741.1803381;-45.120503652039325
1739209741.1803396;-38.13080360867914
1739209741.1803408;-33.981070128970906
1739209741.180342;-33.981070128970906
1739209741.1803434;-32.816014438256545
1739209741.1803446;-45.120503652039325
1739209741.1803458;-45.120503652039325
1739209741.1803472;-38.13080360867914
1739209741.1803484;-38.13080360867914
1739209741.1803496;-45.120503652039325
1739209741.180351;-35.57807855764607
1739209741.1803522;-45.120503652039325
1739209741.1803536;-38.13080360867914
1739209741.1803548;-38.13080360867914
1739209741.180356;-45.120503652039325
1739209741.1803575;-45.120503652039325
1739209741.1803586;-33.981070128970906
1739209741.1803598;-38.13080360867914
1739209741.1803613;-45.120503652039325
1739209741.1803625;-35.57807855764607
1739209741.1803637;-32.816014438256545
1739209741.180365;-38.13080360867914
1739209741.1803663;-45.120503652039325
1739209741.1803677;-38.13080360867914
1739209741.180369;-45.120503652039325
1739209741.18037;-38.13080360867914
1739209741.1803715;-35.57807855764607
1739209741.1803727;-45.120503652039325
1739209741.180374;-45.120503652039325
1739209741.1803753;-45.120503652039325
1739209741.1803765;-45.120503652039325
1739209741.1803777;-38.13080360867914
1739209741.1803792;-38.13080360867914
1739209741.1803803;-38.13080360867914
1739209741.1803818;-32.816014438256545
1739209741.180383;-45.120503652039325
1739209741.1803842;-33.981070128970906
1739209741.1803856;-32.816014438256545
1739209741.1803868;-33.981070128970906
1739209741.180388;-45.120503652039325
1739209741.1803894;-45.120503652039325
1739209741.1803906;-32.816014438256545
1739209741.1803918;-38.13080360867914
1739209741.1803932;-38.13080360867914
1739209741.1803944;-38.13080360867914
1739209741.1803958;-38.13080360867914
1739209741.180397;-38.13080360867914
