CAN Message; 0x1a7:00001b0c22d0b5b9
Timestamp;Amplitude
1739209781.1993346;-38.13080360867914
1739209781.1993387;-45.120503652039325
1739209781.1993427;-45.120503652039325
1739209781.1993468;-33.981070128970906
1739209781.1993508;-38.13080360867914
1739209781.199355;-38.13080360867914
1739209781.199359;-38.13080360867914
1739209781.199363;-45.120503652039325
1739209781.199367;-38.13080360867914
1739209781.199371;-45.120503652039325
1739209781.1993752;-45.120503652039325
1739209781.1993792;-38.13080360867914
1739209781.1993833;-38.13080360867914
1739209781.1993873;-45.120503652039325
1739209781.1993914;-45.120503652039325
1739209781.1993954;-45.120503652039325
1739209781.1993995;-38.13080360867914
1739209781.1994035;-45.120503652039325
1739209781.1994076;-45.120503652039325
1739209781.1994116;-38.13080360867914
1739209781.1994157;-38.13080360867914
1739209781.1994197;-38.13080360867914
1739209781.199424;-45.120503652039325
1739209781.199428;-45.120503652039325
1739209781.1994321;-35.57807855764607
1739209781.1994362;-38.13080360867914
1739209781.1994402;-45.120503652039325
1739209781.1994443;-45.120503652039325
1739209781.1994483;-45.120503652039325
1739209781.1994524;-45.120503652039325
1739209781.1994565;-45.120503652039325
1739209781.1994605;-45.120503652039325
1739209781.1994646;-45.120503652039325
1739209781.1994686;-38.13080360867914
1739209781.1994727;-38.13080360867914
1739209781.1994767;-35.57807855764607
1739209781.1994808;-33.981070128970906
1739209781.1994848;-45.120503652039325
1739209781.1994889;-38.13080360867914
1739209781.199493;-38.13080360867914
1739209781.199497;-38.13080360867914
1739209781.199501;-45.120503652039325
1739209781.199505;-45.120503652039325
1739209781.1995091;-45.120503652039325
1739209781.1995132;-38.13080360867914
1739209781.1995173;-45.120503652039325
1739209781.1995215;-38.13080360867914
1739209781.1995256;-38.13080360867914
1739209781.1995296;-45.120503652039325
1739209781.1995337;-33.981070128970906
1739209781.1995378;-38.13080360867914
1739209781.1995418;-38.13080360867914
1739209781.1995459;-45.120503652039325
1739209781.19955;-38.13080360867914
1739209781.199554;-45.120503652039325
1739209781.199558;-38.13080360867914
1739209781.199562;-45.120503652039325
1739209781.1995661;-45.120503652039325
1739209781.1995702;-45.120503652039325
1739209781.1995742;-38.13080360867914
1739209781.1995783;-26.487275050834715
1739209781.1995823;-38.13080360867914
1739209781.1995864;-45.120503652039325
1739209781.1995904;-38.13080360867914
1739209781.1995945;-38.13080360867914
1739209781.1995986;-38.13080360867914
1739209781.1996026;-45.120503652039325
1739209781.1996067;-45.120503652039325
1739209781.1996107;-38.13080360867914
1739209781.1996148;-45.120503652039325
1739209781.199619;-38.13080360867914
1739209781.199623;-45.120503652039325
1739209781.1996272;-45.120503652039325
1739209781.1996312;-45.120503652039325
1739209781.1996353;-38.13080360867914
1739209781.1996393;-35.57807855764607
1739209781.1996434;-35.57807855764607
1739209781.1996474;-38.13080360867914
1739209781.1996515;-45.120503652039325
1739209781.1996555;-45.120503652039325
1739209781.1996596;-45.120503652039325
1739209781.1996636;-45.120503652039325
1739209781.1996677;-45.120503652039325
1739209781.1996717;-38.13080360867914
1739209781.1996758;-27.8777449560314
1739209781.1996799;-38.13080360867914
1739209781.199684;-45.120503652039325
1739209781.199688;-45.120503652039325
1739209781.199692;-38.13080360867914
1739209781.199696;-45.120503652039325
1739209781.1997;-45.120503652039325
1739209781.1997042;-45.120503652039325
1739209781.1997082;-33.981070128970956
1739209781.1997123;-45.120503652039325
1739209781.1997163;-38.13080360867914
1739209781.1997206;-45.120503652039325
1739209781.1997247;-38.13080360867914
1739209781.1997287;-38.13080360867914
1739209781.1997328;-45.120503652039325
1739209781.1997368;-45.120503652039325
1739209781.199741;-30.49652367304973
1739209781.199745;-35.57807855764607
1739209781.199749;-45.120503652039325
1739209781.199753;-45.120503652039325
1739209781.199757;-45.120503652039325
1739209781.1997612;-45.120503652039325
1739209781.1997652;-45.120503652039325
1739209781.1997693;-45.120503652039325
1739209781.1997733;-38.13080360867914
1739209781.1997774;-38.13080360867914
1739209781.1997814;-38.13080360867914
1739209781.1997855;-38.13080360867914
1739209781.1997895;-35.57807855764607
1739209781.1997936;-38.13080360867914
1739209781.1997976;-45.120503652039325
1739209781.1998017;-38.13080360867914
1739209781.1998057;-45.120503652039325
1739209781.1998098;-45.120503652039325
1739209781.1998138;-35.57807855764607
1739209781.1998181;-35.57807855764607
1739209781.1998222;-45.120503652039325
1739209781.1998262;-33.981070128970906
1739209781.1998303;-38.13080360867914
1739209781.1998343;-45.120503652039325
1739209781.1998384;-38.13080360867914
1739209781.1998425;-38.13080360867914
1739209781.1998465;-35.57807855764607
1739209781.1998506;-35.57807855764607
1739209781.1998546;-45.120503652039325
1739209781.1998587;-45.120503652039325
1739209781.1998627;-38.13080360867914
1739209781.1998668;-35.57807855764607
1739209781.1998708;-45.120503652039325
1739209781.1998749;-38.13080360867914
1739209781.199879;-38.13080360867914
1739209781.199883;-45.120503652039325
1739209781.199887;-35.57807855764607
1739209781.199891;-38.13080360867914
1739209781.1998951;-45.120503652039325
1739209781.1998992;-35.57807855764607
1739209781.1999032;-38.13080360867914
1739209781.1999073;-28.992665084841942
1739209781.1999114;-38.13080360867914
1739209781.1999154;-45.120503652039325
1739209781.1999197;-38.13080360867914
1739209781.1999238;-38.13080360867914
1739209781.1999278;-38.13080360867914
1739209781.1999319;-35.57807855764607
1739209781.199936;-45.120503652039325
1739209781.19994;-38.13080360867914
1739209781.199944;-45.120503652039325
1739209781.199948;-38.13080360867914
1739209781.1999521;-38.13080360867914
1739209781.1999562;-45.120503652039325
1739209781.1999602;-38.13080360867914
1739209781.1999643;-38.13080360867914
1739209781.1999683;-45.120503652039325
1739209781.1999724;-38.13080360867914
1739209781.1999764;-38.13080360867914
1739209781.1999805;-45.120503652039325
1739209781.1999846;-38.13080360867914
1739209781.1999886;-38.13080360867914
1739209781.1999927;-45.120503652039325
1739209781.1999967;-38.13080360867914
1739209781.2000008;-33.981070128970906
1739209781.2000048;-25.826314394896357
1739209781.2000089;-38.13080360867914
1739209781.200013;-38.13080360867914
1739209781.2000172;-38.13080360867914
1739209781.2000213;-38.13080360867914
1739209781.2000253;-38.13080360867914
1739209781.2000294;-45.120503652039325
1739209781.2000334;-38.13080360867914
