CAN Message; 0x1a7:0000f0a329d4fc7c
Timestamp;Amplitude
1739209705.756617;-45.120503652039325
1739209705.756628;-45.120503652039325
1739209705.7566392;-45.120503652039325
1739209705.7566502;-38.13080360867914
1739209705.7566612;-45.120503652039325
1739209705.7566721;-45.120503652039325
1739209705.7566833;-38.13080360867914
1739209705.7566943;-38.13080360867914
1739209705.7567053;-45.120503652039325
1739209705.7567163;-45.120503652039325
1739209705.7567275;-45.120503652039325
1739209705.7567384;-45.120503652039325
1739209705.7567494;-38.13080360867914
1739209705.7567604;-45.120503652039325
1739209705.7567716;-38.13080360867914
1739209705.7567825;-38.13080360867914
1739209705.7567935;-38.13080360867914
1739209705.7568045;-33.981070128970906
1739209705.7568157;-35.57807855764607
1739209705.7568266;-38.13080360867914
1739209705.7568376;-38.13080360867914
1739209705.7568486;-45.120503652039325
1739209705.7568598;-38.13080360867914
1739209705.7568707;-45.120503652039325
1739209705.7568817;-45.120503652039325
1739209705.7568927;-45.120503652039325
1739209705.756904;-45.120503652039325
1739209705.7569149;-45.120503652039325
1739209705.7569258;-33.981070128970906
1739209705.7569368;-45.120503652039325
1739209705.756948;-38.13080360867914
1739209705.756959;-38.13080360867914
1739209705.75697;-38.13080360867914
1739209705.756981;-38.13080360867914
1739209705.7569919;-38.13080360867914
1739209705.757003;-33.981070128970906
1739209705.757014;-45.120503652039325
1739209705.757025;-45.120503652039325
1739209705.757036;-45.120503652039325
1739209705.7570472;-33.981070128970906
1739209705.7570581;-45.120503652039325
1739209705.757069;-45.120503652039325
1739209705.75708;-38.13080360867914
1739209705.7570913;-45.120503652039325
1739209705.7571023;-45.120503652039325
1739209705.7571132;-38.13080360867914
1739209705.7571242;-38.13080360867914
1739209705.7571354;-38.13080360867914
1739209705.7571464;-45.120503652039325
1739209705.7571573;-45.120503652039325
1739209705.7571683;-45.120503652039325
1739209705.7571795;-33.981070128970906
1739209705.7571905;-45.120503652039325
1739209705.7572014;-45.120503652039325
1739209705.7572124;-38.13080360867914
1739209705.7572236;-38.13080360867914
1739209705.7572346;-45.120503652039325
1739209705.7572455;-45.120503652039325
1739209705.7572565;-38.13080360867914
1739209705.7572677;-33.981070128970906
1739209705.7572787;-33.981070128970906
1739209705.7572896;-35.57807855764607
1739209705.7573006;-45.120503652039325
1739209705.7573118;-45.120503652039325
1739209705.7573228;-38.13080360867914
1739209705.7573338;-38.13080360867914
1739209705.7573447;-45.120503652039325
1739209705.757356;-35.57807855764607
1739209705.757367;-45.120503652039325
1739209705.7573779;-45.120503652039325
1739209705.7573888;-32.816014438256545
1739209705.7574;-38.13080360867914
1739209705.757411;-45.120503652039325
1739209705.757422;-38.13080360867914
1739209705.757433;-38.13080360867914
1739209705.7574441;-25.826314394896357
1739209705.757455;-38.13080360867914
1739209705.757466;-38.13080360867914
1739209705.757477;-38.13080360867914
1739209705.757488;-38.13080360867914
1739209705.7574992;-38.13080360867914
1739209705.7575102;-45.120503652039325
1739209705.7575212;-45.120503652039325
1739209705.7575321;-45.120503652039325
1739209705.7575433;-45.120503652039325
1739209705.7575543;-45.120503652039325
1739209705.7575653;-38.13080360867914
1739209705.7575762;-38.13080360867914
1739209705.7575874;-38.13080360867914
1739209705.7575984;-45.120503652039325
1739209705.7576094;-45.120503652039325
1739209705.7576203;-32.816014438256545
1739209705.7576315;-45.120503652039325
1739209705.7576425;-38.13080360867914
1739209705.7576535;-38.13080360867914
1739209705.7576644;-38.13080360867914
1739209705.7576756;-38.13080360867914
1739209705.7576866;-38.13080360867914
1739209705.7576976;-45.120503652039325
1739209705.7577085;-28.992665084841942
1739209705.7577198;-38.13080360867914
1739209705.7577307;-38.13080360867914
1739209705.7577417;-45.120503652039325
1739209705.7577527;-38.13080360867914
1739209705.7577639;-32.816014438256545
1739209705.7577748;-45.120503652039325
1739209705.7577858;-45.120503652039325
1739209705.7577968;-33.981070128970906
1739209705.757808;-45.120503652039325
1739209705.757819;-45.120503652039325
1739209705.75783;-45.120503652039325
1739209705.7578409;-33.981070128970906
1739209705.757852;-38.13080360867914
1739209705.757863;-45.120503652039325
1739209705.757874;-38.13080360867914
1739209705.757885;-33.981070128970906
1739209705.7578962;-45.120503652039325
1739209705.7579072;-45.120503652039325
1739209705.7579181;-45.120503652039325
1739209705.757929;-45.120503652039325
1739209705.75794;-45.120503652039325
1739209705.7579513;-45.120503652039325
1739209705.7579622;-33.981070128970906
1739209705.7579732;-33.981070128970906
1739209705.7579842;-38.13080360867914
1739209705.7579954;-38.13080360867914
1739209705.7580063;-35.57807855764607
1739209705.7580173;-38.13080360867914
1739209705.7580283;-33.981070128970906
1739209705.7580395;-38.13080360867914
1739209705.7580504;-45.120503652039325
1739209705.7580614;-45.120503652039325
1739209705.7580724;-45.120503652039325
1739209705.7580836;-45.120503652039325
1739209705.7580945;-38.13080360867914
1739209705.7581055;-38.13080360867914
1739209705.7581165;-45.120503652039325
1739209705.7581277;-45.120503652039325
1739209705.7581387;-38.13080360867914
1739209705.7581496;-38.13080360867914
1739209705.7581606;-45.120503652039325
1739209705.7581718;-45.120503652039325
1739209705.7581828;-45.120503652039325
1739209705.7581937;-38.13080360867914
1739209705.7582047;-38.13080360867914
1739209705.758216;-45.120503652039325
1739209705.7582269;-45.120503652039325
1739209705.7582378;-38.13080360867914
1739209705.7582488;-32.816014438256545
1739209705.75826;-38.13080360867914
1739209705.758271;-38.13080360867914
1739209705.758282;-38.13080360867914
1739209705.758293;-35.57807855764607
1739209705.758304;-38.13080360867914
1739209705.758315;-45.120503652039325
1739209705.758326;-45.120503652039325
1739209705.758337;-45.120503652039325
