CAN Message; 0x150:0300f6d480615e93
Timestamp;Amplitude
1739209595.9516273;-45.120503652039325
1739209595.951635;-45.120503652039325
1739209595.9516423;-35.57807855764607
1739209595.95165;-38.13080360867914
1739209595.9516575;-45.120503652039325
1739209595.9516652;-38.13080360867914
1739209595.9516726;-45.120503652039325
1739209595.9516802;-32.816014438256545
1739209595.9516878;-38.13080360867914
1739209595.9516954;-45.120503652039325
1739209595.9517028;-38.13080360867914
1739209595.9517105;-33.981070128970906
1739209595.951718;-38.13080360867914
1739209595.9517257;-45.120503652039325
1739209595.9517334;-45.120503652039325
1739209595.9517407;-45.120503652039325
1739209595.9517484;-45.120503652039325
1739209595.951756;-38.13080360867914
1739209595.9517636;-45.120503652039325
1739209595.951771;-45.120503652039325
1739209595.9517787;-45.120503652039325
1739209595.9517863;-45.120503652039325
1739209595.951794;-45.120503652039325
1739209595.9518013;-38.13080360867914
1739209595.951809;-38.13080360867914
1739209595.9518166;-45.120503652039325
1739209595.9518242;-35.57807855764607
1739209595.9518318;-35.57807855764607
1739209595.9518392;-45.120503652039325
1739209595.9518468;-38.13080360867914
1739209595.9518545;-35.57807855764607
1739209595.951862;-32.816014438256545
1739209595.9518695;-38.13080360867914
1739209595.951877;-45.120503652039325
1739209595.9518847;-45.120503652039325
1739209595.9518924;-45.120503652039325
1739209595.9518998;-38.13080360867914
1739209595.9519074;-38.13080360867914
1739209595.951915;-38.13080360867914
1739209595.9519227;-38.13080360867914
1739209595.9519303;-45.120503652039325
1739209595.9519377;-45.120503652039325
1739209595.9519453;-38.13080360867914
1739209595.951953;-38.13080360867914
1739209595.9519606;-45.120503652039325
1739209595.951968;-45.120503652039325
1739209595.9519756;-45.120503652039325
1739209595.9519832;-28.992665084841942
1739209595.9519908;-33.981070128970906
1739209595.9519982;-38.13080360867914
1739209595.9520059;-45.120503652039325
1739209595.9520135;-38.13080360867914
1739209595.9520211;-32.816014438256545
1739209595.9520288;-35.57807855764607
1739209595.9520361;-38.13080360867914
1739209595.9520438;-35.57807855764607
1739209595.9520514;-38.13080360867914
1739209595.952059;-45.120503652039325
1739209595.9520664;-38.13080360867914
1739209595.952074;-38.13080360867914
1739209595.9520817;-45.120503652039325
1739209595.9520893;-45.120503652039325
1739209595.9520967;-38.13080360867914
1739209595.9521043;-45.120503652039325
1739209595.952112;-38.13080360867914
1739209595.9521196;-45.120503652039325
1739209595.952127;-45.120503652039325
1739209595.9521346;-45.120503652039325
1739209595.9521422;-38.13080360867914
1739209595.9521499;-33.981070128970906
1739209595.9521575;-38.13080360867914
1739209595.952165;-31.141103565318915
1739209595.9521725;-33.981070128970906
1739209595.9521801;-45.120503652039325
1739209595.9521878;-45.120503652039325
1739209595.9521952;-33.981070128970906
1739209595.9522028;-38.13080360867914
1739209595.9522104;-45.120503652039325
1739209595.952218;-38.13080360867914
1739209595.9522254;-33.981070128970906
1739209595.952233;-33.981070128970906
1739209595.9522407;-38.13080360867914
1739209595.9522483;-38.13080360867914
1739209595.952256;-45.120503652039325
1739209595.9522634;-45.120503652039325
1739209595.952271;-38.13080360867914
1739209595.9522786;-45.120503652039325
1739209595.9522862;-33.981070128970906
1739209595.9522936;-33.981070128970906
1739209595.9523013;-45.120503652039325
1739209595.952309;-38.13080360867914
1739209595.9523165;-45.120503652039325
1739209595.952324;-45.120503652039325
1739209595.9523315;-45.120503652039325
1739209595.9523392;-45.120503652039325
1739209595.9523468;-38.13080360867914
1739209595.9523544;-38.13080360867914
1739209595.9523618;-45.120503652039325
1739209595.9523695;-33.981070128970906
1739209595.952377;-33.981070128970906
1739209595.9523847;-38.13080360867914
1739209595.952392;-38.13080360867914
1739209595.9523997;-45.120503652039325
1739209595.9524074;-38.13080360867914
