CAN Message; 0x98:0000a38659f4da2e
Timestamp;Amplitude
1739209795.1623738;-38.13080360867914
1739209795.162379;-38.13080360867914
1739209795.1623843;-38.13080360867914
1739209795.1623895;-45.120503652039325
1739209795.1623948;-45.120503652039325
1739209795.1624;-45.120503652039325
1739209795.1624053;-38.13080360867914
1739209795.1624105;-33.981070128970906
1739209795.1624157;-38.13080360867914
1739209795.162421;-38.13080360867914
1739209795.1624262;-45.120503652039325
1739209795.1624315;-38.13080360867914
1739209795.1624367;-38.13080360867914
1739209795.162442;-45.120503652039325
1739209795.1624472;-35.57807855764607
1739209795.1624525;-38.13080360867914
1739209795.1624577;-45.120503652039325
1739209795.162463;-45.120503652039325
1739209795.1624682;-38.13080360867914
1739209795.1624732;-38.13080360867914
1739209795.1624784;-45.120503652039325
1739209795.1624837;-38.13080360867914
1739209795.162489;-45.120503652039325
1739209795.1624942;-45.120503652039325
1739209795.1624994;-45.120503652039325
1739209795.1625047;-38.13080360867914
1739209795.16251;-45.120503652039325
1739209795.1625152;-38.13080360867914
1739209795.1625204;-38.13080360867914
1739209795.1625257;-38.13080360867914
1739209795.162531;-45.120503652039325
1739209795.1625361;-38.13080360867914
1739209795.1625414;-31.141103565318915
1739209795.1625466;-45.120503652039325
1739209795.1625519;-45.120503652039325
1739209795.1625571;-45.120503652039325
1739209795.1625624;-38.13080360867914
1739209795.1625676;-38.13080360867914
1739209795.1625729;-45.120503652039325
1739209795.162578;-45.120503652039325
1739209795.1625834;-45.120503652039325
1739209795.1625886;-35.57807855764607
1739209795.1625936;-45.120503652039325
1739209795.1625988;-45.120503652039325
1739209795.162604;-45.120503652039325
1739209795.1626093;-38.13080360867914
1739209795.1626146;-45.120503652039325
1739209795.1626198;-38.13080360867914
1739209795.162625;-26.487275050834715
1739209795.1626303;-35.57807855764607
1739209795.1626356;-45.120503652039325
1739209795.1626408;-38.13080360867914
1739209795.162646;-31.141103565318915
1739209795.1626513;-45.120503652039325
1739209795.1626565;-45.120503652039325
1739209795.1626618;-45.120503652039325
1739209795.162667;-33.981070128970956
1739209795.1626723;-38.13080360867914
1739209795.1626775;-38.13080360867914
1739209795.1626828;-45.120503652039325
1739209795.162688;-45.120503652039325
1739209795.1626933;-38.13080360867914
1739209795.1626985;-45.120503652039325
1739209795.1627038;-33.981070128970906
1739209795.162709;-30.49652367304973
1739209795.162714;-35.57807855764607
1739209795.1627192;-45.120503652039325
1739209795.1627245;-38.13080360867914
1739209795.1627297;-38.13080360867914
1739209795.162735;-45.120503652039325
1739209795.1627402;-38.13080360867914
1739209795.1627455;-38.13080360867914
1739209795.1627507;-45.120503652039325
1739209795.162756;-45.120503652039325
1739209795.1627612;-45.120503652039325
1739209795.1627665;-45.120503652039325
1739209795.1627717;-35.57807855764607
1739209795.162777;-35.57807855764607
1739209795.1627822;-38.13080360867914
1739209795.1627874;-45.120503652039325
1739209795.1627927;-38.13080360867914
1739209795.162798;-45.120503652039325
1739209795.1628032;-45.120503652039325
1739209795.1628084;-45.120503652039325
1739209795.1628137;-45.120503652039325
1739209795.162819;-38.13080360867914
1739209795.1628242;-35.57807855764607
1739209795.1628294;-38.13080360867914
1739209795.1628344;-28.21854285175415
1739209795.1628397;-32.816014438256545
1739209795.162845;-45.120503652039325
1739209795.1628501;-38.13080360867914
1739209795.1628554;-35.57807855764607
1739209795.1628606;-38.13080360867914
1739209795.1628659;-45.120503652039325
1739209795.1628711;-38.13080360867914
1739209795.1628764;-38.13080360867914
1739209795.1628816;-45.120503652039325
1739209795.1628869;-32.816014438256545
1739209795.162892;-38.13080360867914
1739209795.1628973;-45.120503652039325
1739209795.1629026;-45.120503652039325
1739209795.1629078;-38.13080360867914
1739209795.162913;-45.120503652039325
1739209795.1629183;-28.21854285175415
1739209795.1629236;-30.49652367304973
1739209795.1629288;-45.120503652039325
1739209795.162934;-38.13080360867914
1739209795.1629393;-38.13080360867914
1739209795.1629446;-45.120503652039325
1739209795.1629496;-45.120503652039325
1739209795.1629548;-38.13080360867914
1739209795.16296;-45.120503652039325
1739209795.1629653;-45.120503652039325
1739209795.1629705;-45.120503652039325
1739209795.1629758;-45.120503652039325
1739209795.162981;-35.57807855764607
1739209795.1629863;-33.981070128970906
1739209795.1629915;-45.120503652039325
1739209795.1629968;-38.13080360867914
1739209795.163002;-35.57807855764607
1739209795.1630073;-38.13080360867914
1739209795.1630125;-45.120503652039325
1739209795.1630177;-38.13080360867914
1739209795.163023;-38.13080360867914
1739209795.1630282;-38.13080360867914
1739209795.1630335;-45.120503652039325
1739209795.1630387;-45.120503652039325
1739209795.163044;-35.57807855764607
1739209795.1630492;-35.57807855764607
1739209795.1630545;-45.120503652039325
1739209795.1630597;-45.120503652039325
1739209795.163065;-35.57807855764607
