CAN Message; 0x1d3:00007f4287be82e8
Timestamp;Amplitude
1739209681.0728695;-45.120503652039325
1739209681.072878;-38.13080360867914
1739209681.0728862;-38.13080360867914
1739209681.0728946;-45.120503652039325
1739209681.0729027;-45.120503652039325
1739209681.072911;-38.13080360867914
1739209681.0729194;-38.13080360867914
1739209681.0729277;-38.13080360867914
1739209681.072936;-45.120503652039325
1739209681.0729442;-38.13080360867914
1739209681.0729525;-38.13080360867914
1739209681.0729609;-45.120503652039325
1739209681.0729692;-45.120503652039325
1739209681.0729775;-38.13080360867914
1739209681.072986;-45.120503652039325
1739209681.072994;-45.120503652039325
1739209681.0730023;-38.13080360867914
1739209681.0730107;-38.13080360867914
1739209681.073019;-35.57807855764607
1739209681.0730274;-31.141103565318915
1739209681.0730357;-45.120503652039325
1739209681.0730438;-38.13080360867914
1739209681.0730522;-38.13080360867914
1739209681.0730605;-38.13080360867914
1739209681.0730689;-38.13080360867914
1739209681.0730772;-35.57807855764607
1739209681.0730853;-38.13080360867914
1739209681.0730937;-38.13080360867914
1739209681.073102;-45.120503652039325
1739209681.0731103;-45.120503652039325
1739209681.0731187;-38.13080360867914
1739209681.073127;-45.120503652039325
1739209681.0731351;-38.13080360867914
1739209681.0731435;-38.13080360867914
1739209681.0731518;-45.120503652039325
1739209681.0731602;-38.13080360867914
1739209681.0731685;-38.13080360867914
1739209681.0731769;-38.13080360867914
1739209681.073185;-38.13080360867914
1739209681.0731933;-38.13080360867914
1739209681.0732017;-38.13080360867914
1739209681.07321;-45.120503652039325
1739209681.0732183;-38.13080360867914
1739209681.0732265;-33.981070128970906
1739209681.0732348;-45.120503652039325
1739209681.0732431;-45.120503652039325
1739209681.0732515;-45.120503652039325
1739209681.0732598;-35.57807855764607
1739209681.0732682;-45.120503652039325
1739209681.0732763;-45.120503652039325
1739209681.0732846;-45.120503652039325
1739209681.073293;-33.981070128970956
1739209681.0733013;-45.120503652039325
1739209681.0733097;-38.13080360867914
1739209681.073318;-45.120503652039325
1739209681.073326;-38.13080360867914
1739209681.0733345;-35.57807855764607
1739209681.0733428;-38.13080360867914
1739209681.0733511;-38.13080360867914
1739209681.0733595;-25.826314394896354
1739209681.0733676;-35.57807855764607
1739209681.073376;-45.120503652039325
1739209681.0733843;-38.13080360867914
1739209681.0733926;-33.981070128970906
1739209681.073401;-45.120503652039325
1739209681.0734093;-45.120503652039325
1739209681.0734174;-45.120503652039325
1739209681.0734258;-45.120503652039325
1739209681.073434;-45.120503652039325
1739209681.0734425;-45.120503652039325
1739209681.0734508;-45.120503652039325
1739209681.0734591;-45.120503652039325
1739209681.0734673;-38.13080360867914
1739209681.0734756;-45.120503652039325
1739209681.073484;-45.120503652039325
1739209681.0734923;-45.120503652039325
1739209681.0735006;-45.120503652039325
1739209681.0735087;-45.120503652039325
1739209681.073517;-45.120503652039325
1739209681.0735254;-45.120503652039325
1739209681.0735338;-38.13080360867914
1739209681.073542;-33.981070128970906
1739209681.0735505;-45.120503652039325
1739209681.0735586;-32.816014438256545
1739209681.073567;-38.13080360867914
1739209681.0735753;-38.13080360867914
1739209681.0735836;-45.120503652039325
1739209681.073592;-35.57807855764607
1739209681.0736003;-38.13080360867914
1739209681.0736084;-45.120503652039325
1739209681.0736167;-45.120503652039325
1739209681.073625;-45.120503652039325
1739209681.0736334;-45.120503652039325
1739209681.0736418;-35.57807855764607
1739209681.07365;-45.120503652039325
1739209681.0736582;-45.120503652039325
1739209681.0736666;-38.13080360867914
1739209681.073675;-32.816014438256545
1739209681.0736833;-38.13080360867914
1739209681.0736916;-38.13080360867914
1739209681.0736997;-33.981070128970906
1739209681.073708;-38.13080360867914
1739209681.0737164;-33.981070128970906
1739209681.0737247;-45.120503652039325
1739209681.073733;-38.13080360867914
1739209681.0737414;-38.13080360867914
1739209681.0737495;-35.57807855764607
1739209681.073758;-45.120503652039325
1739209681.0737662;-45.120503652039325
1739209681.0737746;-32.816014438256545
1739209681.073783;-38.13080360867914
1739209681.073791;-45.120503652039325
1739209681.0737994;-38.13080360867914
1739209681.0738077;-38.13080360867914
1739209681.073816;-38.13080360867914
1739209681.0738244;-45.120503652039325
1739209681.0738328;-38.13080360867914
1739209681.0738409;-35.57807855764607
1739209681.0738492;-38.13080360867914
1739209681.0738575;-45.120503652039325
1739209681.073866;-45.120503652039325
1739209681.0738742;-35.57807855764607
1739209681.0738826;-38.13080360867914
1739209681.0738907;-38.13080360867914
1739209681.073899;-38.13080360867914
1739209681.0739074;-45.120503652039325
1739209681.0739157;-45.120503652039325
1739209681.073924;-38.13080360867914
1739209681.0739322;-38.13080360867914
1739209681.0739405;-45.120503652039325
1739209681.0739489;-38.13080360867914
1739209681.0739572;-45.120503652039325
1739209681.0739655;-33.981070128970906
1739209681.073974;-38.13080360867914
1739209681.073982;-45.120503652039325
1739209681.0739903;-45.120503652039325
1739209681.0739987;-38.13080360867914
1739209681.074007;-38.13080360867914
1739209681.0740154;-38.13080360867914
1739209681.0740237;-38.13080360867914
1739209681.0740318;-38.13080360867914
1739209681.0740402;-45.120503652039325
1739209681.0740485;-45.120503652039325
1739209681.0740569;-45.120503652039325
1739209681.0740652;-38.13080360867914
1739209681.0740733;-45.120503652039325
1739209681.0740817;-38.13080360867914
1739209681.07409;-38.13080360867914
1739209681.0740983;-38.13080360867914
1739209681.0741067;-45.120503652039325
1739209681.074115;-38.13080360867914
1739209681.0741231;-35.57807855764607
1739209681.0741315;-33.981070128970906
1739209681.0741398;-45.120503652039325
1739209681.0741482;-45.120503652039325
1739209681.0741565;-38.13080360867914
1739209681.0741649;-33.981070128970906
1739209681.074173;-38.13080360867914
1739209681.0741813;-38.13080360867914
1739209681.0741897;-38.13080360867914
1739209681.074198;-45.120503652039325
1739209681.0742064;-45.120503652039325
1739209681.0742145;-45.120503652039325
1739209681.0742228;-38.13080360867914
1739209681.0742311;-33.981070128970906
1739209681.0742395;-38.13080360867914
1739209681.0742478;-45.120503652039325
1739209681.0742562;-45.120503652039325
1739209681.0742643;-38.13080360867914
1739209681.0742726;-45.120503652039325
1739209681.074281;-45.120503652039325
1739209681.0742893;-33.981070128970906
1739209681.0742977;-32.816014438256545
1739209681.0743058;-38.13080360867914
1739209681.074314;-38.13080360867914
1739209681.0743225;-38.13080360867914
1739209681.0743308;-45.120503652039325
1739209681.0743392;-38.13080360867914
1739209681.0743475;-38.13080360867914
1739209681.0743556;-38.13080360867914
1739209681.074364;-31.141103565318915
1739209681.0743723;-33.981070128970906
1739209681.0743806;-45.120503652039325
1739209681.074389;-45.120503652039325
1739209681.0743973;-45.120503652039325
1739209681.0744054;-45.120503652039325
1739209681.0744138;-45.120503652039325
1739209681.0744221;-38.13080360867914
1739209681.0744305;-38.13080360867914
1739209681.0744388;-45.120503652039325
1739209681.074447;-38.13080360867914
1739209681.0744553;-45.120503652039325
1739209681.0744636;-38.13080360867914
1739209681.074472;-45.120503652039325
1739209681.0744803;-45.120503652039325
1739209681.0744886;-45.120503652039325
1739209681.0744967;-38.13080360867914
1739209681.074505;-38.13080360867914
1739209681.0745134;-38.13080360867914
1739209681.0745218;-45.120503652039325
1739209681.0745301;-45.120503652039325
1739209681.0745385;-38.13080360867914
1739209681.0745466;-35.57807855764607
1739209681.074555;-45.120503652039325
1739209681.0745633;-33.981070128970906
1739209681.0745716;-28.992665084841942
1739209681.07458;-38.13080360867914
1739209681.074588;-45.120503652039325
1739209681.0745964;-38.13080360867914
1739209681.0746047;-38.13080360867914
1739209681.074613;-38.13080360867914
1739209681.0746214;-45.120503652039325
1739209681.0746298;-45.120503652039325
1739209681.074638;-35.57807855764607
1739209681.0746462;-38.13080360867914
1739209681.0746546;-45.120503652039325
1739209681.074663;-45.120503652039325
1739209681.0746713;-35.57807855764607
1739209681.0746796;-35.57807855764607
1739209681.0746877;-45.120503652039325
1739209681.074696;-38.13080360867914
1739209681.0747044;-30.49652367304973
1739209681.0747128;-33.981070128970906
1739209681.074721;-45.120503652039325
1739209681.0747292;-45.120503652039325
1739209681.0747375;-45.120503652039325
1739209681.074746;-38.13080360867914
1739209681.0747542;-38.13080360867914
1739209681.0747626;-45.120503652039325
1739209681.074771;-45.120503652039325
1739209681.074779;-38.13080360867914
1739209681.0747874;-38.13080360867914
1739209681.0747957;-45.120503652039325
1739209681.074804;-33.981070128970906
1739209681.0748124;-33.981070128970906
1739209681.0748208;-38.13080360867914
1739209681.0748289;-38.13080360867914
1739209681.0748372;-45.120503652039325
1739209681.0748456;-38.13080360867914
1739209681.074854;-45.120503652039325
1739209681.0748622;-45.120503652039325
1739209681.0748703;-38.13080360867914
1739209681.0748787;-35.57807855764607
1739209681.074887;-45.120503652039325
1739209681.0748954;-38.13080360867914
1739209681.0749037;-30.49652367304973
1739209681.074912;-35.57807855764607
1739209681.0749202;-45.120503652039325
1739209681.0749285;-38.13080360867914
1739209681.0749369;-33.981070128970906
1739209681.0749452;-45.120503652039325
1739209681.0749536;-38.13080360867914
1739209681.074962;-45.120503652039325
1739209681.07497;-45.120503652039325
1739209681.0749784;-38.13080360867914
1739209681.0749867;-45.120503652039325
1739209681.074995;-45.120503652039325
1739209681.0750034;-45.120503652039325
1739209681.0750115;-33.981070128970906
1739209681.0750198;-45.120503652039325
1739209681.0750282;-45.120503652039325
1739209681.0750365;-33.981070128970906
1739209681.0750449;-45.120503652039325
1739209681.0750532;-45.120503652039325
1739209681.0750613;-45.120503652039325
1739209681.0750697;-38.13080360867914
1739209681.075078;-38.13080360867914
1739209681.0750864;-35.57807855764607
1739209681.0750947;-38.13080360867914
1739209681.075103;-38.13080360867914
1739209681.0751112;-45.120503652039325
1739209681.0751195;-38.13080360867914
1739209681.0751278;-33.981070128970906
1739209681.0751362;-38.13080360867914
1739209681.0751445;-45.120503652039325
1739209681.0751526;-38.13080360867914
1739209681.075161;-35.57807855764607
1739209681.0751693;-38.13080360867914
1739209681.0751777;-38.13080360867914
1739209681.075186;-38.13080360867914
1739209681.0751944;-38.13080360867914
1739209681.0752025;-45.120503652039325
1739209681.0752108;-45.120503652039325
1739209681.0752192;-35.57807855764607
1739209681.0752275;-38.13080360867914
1739209681.0752358;-45.120503652039325
1739209681.0752442;-45.120503652039325
1739209681.0752523;-45.120503652039325
1739209681.0752606;-45.120503652039325
1739209681.075269;-35.57807855764607
1739209681.0752773;-38.13080360867914
1739209681.0752857;-45.120503652039325
1739209681.0752938;-45.120503652039325
1739209681.0753021;-45.120503652039325
1739209681.0753105;-33.981070128970906
1739209681.0753188;-38.13080360867914
1739209681.0753272;-45.120503652039325
1739209681.0753355;-45.120503652039325
1739209681.0753436;-45.120503652039325
1739209681.075352;-45.120503652039325
1739209681.0753603;-45.120503652039325
1739209681.0753686;-45.120503652039325
1739209681.075377;-38.13080360867914
1739209681.0753853;-38.13080360867914
1739209681.0753934;-38.13080360867914
1739209681.0754018;-38.13080360867914
1739209681.0754101;-38.13080360867914
1739209681.0754185;-38.13080360867914
1739209681.0754268;-33.981070128970906
1739209681.075435;-45.120503652039325
1739209681.0754433;-38.13080360867914
1739209681.0754516;-38.13080360867914
1739209681.07546;-45.120503652039325
1739209681.0754683;-45.120503652039325
1739209681.0754766;-38.13080360867914
1739209681.0754848;-45.120503652039325
1739209681.075493;-45.120503652039325
1739209681.0755014;-45.120503652039325
1739209681.0755098;-45.120503652039325
1739209681.0755181;-35.57807855764607
1739209681.0755265;-38.13080360867914
1739209681.0755346;-45.120503652039325
1739209681.075543;-38.13080360867914
1739209681.0755513;-38.13080360867914
1739209681.0755596;-45.120503652039325
1739209681.075568;-45.120503652039325
1739209681.075576;-38.13080360867914
1739209681.0755844;-38.13080360867914
1739209681.0755928;-45.120503652039325
1739209681.075601;-38.13080360867914
1739209681.0756094;-33.981070128970906
1739209681.0756178;-45.120503652039325
1739209681.075626;-45.120503652039325
1739209681.0756342;-38.13080360867914
1739209681.0756426;-33.981070128970906
1739209681.075651;-38.13080360867914
1739209681.0756593;-45.120503652039325
1739209681.0756676;-45.120503652039325
1739209681.0756757;-45.120503652039325
1739209681.075684;-45.120503652039325
1739209681.0756924;-45.120503652039325
1739209681.0757008;-35.57807855764607
1739209681.075709;-33.981070128970906
1739209681.0757172;-38.13080360867914
1739209681.0757256;-45.120503652039325
1739209681.075734;-33.981070128970906
1739209681.0757422;-38.13080360867914
1739209681.0757506;-45.120503652039325
1739209681.075759;-38.13080360867914
1739209681.075767;-33.981070128970906
1739209681.0757754;-28.58837851428586
1739209681.0757837;-38.13080360867914
1739209681.075792;-38.13080360867914
1739209681.0758004;-35.57807855764607
1739209681.0758088;-38.13080360867914
