CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.6295288;-33.981070128970906
1739209606.6295338;-38.13080360867914
1739209606.6295388;-45.120503652039325
1739209606.6295438;-32.816014438256545
1739209606.6295488;-31.141103565318915
1739209606.629554;-45.120503652039325
1739209606.629559;-45.120503652039325
1739209606.629564;-38.13080360867914
1739209606.629569;-45.120503652039325
1739209606.629574;-45.120503652039325
1739209606.629579;-33.981070128970906
1739209606.629584;-38.13080360867914
1739209606.629589;-33.981070128970956
1739209606.629594;-45.120503652039325
1739209606.629599;-35.57807855764607
1739209606.629604;-38.13080360867914
1739209606.629609;-38.13080360867914
1739209606.629614;-38.13080360867914
1739209606.6296194;-35.57807855764607
1739209606.6296244;-35.57807855764607
1739209606.6296294;-45.120503652039325
1739209606.6296344;-45.120503652039325
1739209606.6296394;-38.13080360867914
1739209606.6296444;-38.13080360867914
1739209606.6296494;-45.120503652039325
1739209606.6296544;-45.120503652039325
1739209606.6296594;-45.120503652039325
1739209606.6296644;-38.13080360867914
1739209606.6296694;-32.816014438256545
1739209606.6296744;-45.120503652039325
1739209606.6296794;-38.13080360867914
1739209606.6296844;-38.13080360867914
1739209606.6296897;-45.120503652039325
1739209606.6296947;-45.120503652039325
1739209606.6296997;-35.57807855764607
1739209606.6297047;-45.120503652039325
1739209606.6297097;-45.120503652039325
1739209606.6297147;-38.13080360867914
1739209606.6297197;-30.49652367304973
1739209606.6297247;-38.13080360867914
1739209606.6297297;-35.57807855764607
1739209606.6297348;-35.57807855764607
1739209606.6297398;-38.13080360867914
1739209606.6297448;-35.57807855764607
1739209606.6297498;-38.13080360867914
1739209606.629755;-38.13080360867914
1739209606.62976;-38.13080360867914
1739209606.629765;-38.13080360867914
1739209606.62977;-45.120503652039325
1739209606.629775;-45.120503652039325
1739209606.62978;-35.57807855764607
1739209606.629785;-45.120503652039325
1739209606.62979;-45.120503652039325
1739209606.629795;-45.120503652039325
1739209606.6298;-45.120503652039325
