CAN Message; 0x150:0300f552ca5c2348
Timestamp;Amplitude
1739209761.1916807;-45.120503652039325
1739209761.1916952;-45.120503652039325
1739209761.1917098;-45.120503652039325
1739209761.1917243;-38.13080360867914
1739209761.1917388;-45.120503652039325
1739209761.1917536;-45.120503652039325
1739209761.1917682;-35.57807855764607
1739209761.1917827;-38.13080360867914
1739209761.1917973;-45.120503652039325
1739209761.1918118;-38.13080360867914
1739209761.1918263;-25.077289914212862
1739209761.191841;-33.981070128970906
1739209761.1918557;-45.120503652039325
1739209761.1918702;-45.120503652039325
1739209761.1918848;-32.816014438256545
1739209761.1918993;-38.13080360867914
1739209761.1919138;-45.120503652039325
1739209761.1919284;-45.120503652039325
1739209761.191943;-38.13080360867914
1739209761.1919577;-38.13080360867914
1739209761.1919723;-45.120503652039325
1739209761.1919868;-38.13080360867914
1739209761.1920013;-38.13080360867914
1739209761.192016;-38.13080360867914
1739209761.1920304;-45.120503652039325
1739209761.192045;-45.120503652039325
1739209761.1920598;-28.21854285175415
1739209761.1920743;-35.57807855764607
1739209761.1920888;-45.120503652039325
1739209761.1921034;-45.120503652039325
1739209761.192118;-32.816014438256545
1739209761.1921325;-45.120503652039325
1739209761.192147;-45.120503652039325
1739209761.1921618;-45.120503652039325
1739209761.1921763;-45.120503652039325
1739209761.192191;-45.120503652039325
1739209761.1922054;-45.120503652039325
1739209761.19222;-45.120503652039325
1739209761.1922345;-45.120503652039325
1739209761.192249;-35.57807855764607
1739209761.1922636;-38.13080360867914
1739209761.1922784;-38.13080360867914
1739209761.192293;-45.120503652039325
1739209761.1923075;-38.13080360867914
1739209761.192322;-38.13080360867914
1739209761.1923366;-45.120503652039325
1739209761.192351;-45.120503652039325
1739209761.1923656;-38.13080360867914
1739209761.1923804;-31.141103565318893
1739209761.192395;-45.120503652039325
1739209761.1924095;-28.58837851428586
1739209761.192424;-31.141103565318893
1739209761.1924386;-38.13080360867914
1739209761.1924531;-33.981070128970906
1739209761.1924677;-32.816014438256545
1739209761.1924825;-33.981070128970906
1739209761.192497;-45.120503652039325
1739209761.1925116;-33.981070128970906
1739209761.192526;-38.13080360867914
1739209761.1925406;-38.13080360867914
1739209761.1925552;-38.13080360867914
1739209761.1925697;-45.120503652039325
1739209761.1925845;-45.120503652039325
1739209761.192599;-38.13080360867914
1739209761.1926136;-38.13080360867914
1739209761.1926281;-45.120503652039325
1739209761.1926427;-30.49652367304973
1739209761.1926572;-30.49652367304973
1739209761.1926718;-35.57807855764607
1739209761.1926866;-38.13080360867914
1739209761.192701;-38.13080360867914
1739209761.1927156;-38.13080360867914
1739209761.1927302;-45.120503652039325
1739209761.1927447;-38.13080360867914
1739209761.1927593;-45.120503652039325
1739209761.1927738;-45.120503652039325
1739209761.1927886;-38.13080360867914
1739209761.1928031;-45.120503652039325
1739209761.1928177;-45.120503652039325
1739209761.1928322;-45.120503652039325
1739209761.1928468;-45.120503652039325
1739209761.1928613;-38.13080360867914
1739209761.1928759;-35.57807855764607
1739209761.1928904;-33.981070128970906
1739209761.1929052;-35.57807855764607
1739209761.1929197;-35.57807855764607
1739209761.1929343;-45.120503652039325
1739209761.1929488;-38.13080360867914
1739209761.1929634;-45.120503652039325
1739209761.192978;-45.120503652039325
1739209761.1929924;-35.57807855764607
1739209761.1930072;-38.13080360867914
1739209761.1930218;-45.120503652039325
1739209761.1930363;-45.120503652039325
1739209761.1930509;-45.120503652039325
1739209761.1930654;-33.981070128970906
1739209761.19308;-45.120503652039325
1739209761.1930945;-45.120503652039325
1739209761.1931093;-45.120503652039325
1739209761.1931238;-45.120503652039325
1739209761.1931384;-45.120503652039325
1739209761.193153;-38.13080360867914
1739209761.1931674;-38.13080360867914
1739209761.193182;-45.120503652039325
1739209761.1931965;-38.13080360867914
1739209761.1932113;-38.13080360867914
1739209761.1932259;-38.13080360867914
1739209761.1932404;-33.981070128970906
1739209761.193255;-45.120503652039325
1739209761.1932695;-45.120503652039325
1739209761.193284;-38.13080360867914
1739209761.1932986;-32.816014438256545
1739209761.1933134;-38.13080360867914
1739209761.193328;-45.120503652039325
1739209761.1933424;-38.13080360867914
1739209761.193357;-45.120503652039325
1739209761.1933715;-45.120503652039325
1739209761.193386;-45.120503652039325
1739209761.1934006;-45.120503652039325
1739209761.1934154;-45.120503652039325
1739209761.19343;-45.120503652039325
1739209761.1934445;-45.120503652039325
1739209761.193459;-45.120503652039325
1739209761.1934736;-38.13080360867914
1739209761.1934881;-45.120503652039325
1739209761.1935027;-38.13080360867914
1739209761.1935172;-38.13080360867914
1739209761.193532;-32.816014438256545
1739209761.1935465;-38.13080360867914
1739209761.193561;-38.13080360867914
1739209761.1935756;-32.816014438256545
1739209761.1935902;-45.120503652039325
1739209761.1936047;-45.120503652039325
1739209761.1936193;-45.120503652039325
1739209761.193634;-45.120503652039325
1739209761.1936486;-33.981070128970906
1739209761.1936631;-45.120503652039325
1739209761.1936777;-38.13080360867914
1739209761.1936922;-35.57807855764607
1739209761.1937068;-38.13080360867914
1739209761.1937213;-45.120503652039325
1739209761.193736;-38.13080360867914
1739209761.1937506;-35.57807855764607
1739209761.1937652;-38.13080360867914
1739209761.1937797;-45.120503652039325
1739209761.1937943;-38.13080360867914
1739209761.1938088;-35.57807855764607
1739209761.1938233;-35.57807855764607
1739209761.1938381;-38.13080360867914
1739209761.1938527;-38.13080360867914
1739209761.1938672;-38.13080360867914
1739209761.1938818;-33.981070128970906
1739209761.1938963;-45.120503652039325
1739209761.1939108;-45.120503652039325
1739209761.1939254;-35.57807855764607
1739209761.1939402;-38.13080360867914
1739209761.1939547;-45.120503652039325
1739209761.1939692;-45.120503652039325
1739209761.1939838;-38.13080360867914
1739209761.1939983;-38.13080360867914
1739209761.1940129;-45.120503652039325
1739209761.1940274;-38.13080360867914
1739209761.1940422;-45.120503652039325
1739209761.1940567;-38.13080360867914
1739209761.1940713;-32.816014438256545
1739209761.1940858;-38.13080360867914
1739209761.1941004;-45.120503652039325
1739209761.194115;-45.120503652039325
1739209761.1941295;-38.13080360867914
1739209761.1941442;-38.13080360867914
1739209761.1941588;-35.57807855764607
1739209761.1941733;-45.120503652039325
1739209761.1941879;-45.120503652039325
1739209761.1942024;-35.57807855764607
1739209761.194217;-38.13080360867914
1739209761.1942315;-45.120503652039325
1739209761.194246;-45.120503652039325
1739209761.1942608;-38.13080360867914
1739209761.1942754;-45.120503652039325
1739209761.19429;-38.13080360867914
1739209761.1943045;-45.120503652039325
1739209761.194319;-38.13080360867914
1739209761.1943336;-35.57807855764607
1739209761.194348;-33.981070128970906
1739209761.1943629;-33.981070128970906
1739209761.1943774;-38.13080360867914
1739209761.194392;-38.13080360867914
1739209761.1944065;-38.13080360867914
1739209761.194421;-29.438486411369333
1739209761.1944356;-38.13080360867914
1739209761.1944501;-45.120503652039325
1739209761.194465;-45.120503652039325
1739209761.1944795;-33.981070128970906
1739209761.194494;-33.981070128970906
1739209761.1945086;-45.120503652039325
1739209761.194523;-45.120503652039325
1739209761.1945376;-45.120503652039325
1739209761.1945522;-38.13080360867914
1739209761.194567;-45.120503652039325
1739209761.1945815;-33.981070128970906
1739209761.194596;-32.816014438256545
1739209761.1946106;-38.13080360867914
1739209761.1946251;-38.13080360867914
1739209761.1946397;-45.120503652039325
1739209761.1946542;-28.21854285175415
1739209761.194669;-35.57807855764607
1739209761.1946836;-45.120503652039325
1739209761.194698;-45.120503652039325
1739209761.1947126;-35.57807855764607
1739209761.1947272;-45.120503652039325
1739209761.1947417;-45.120503652039325
1739209761.1947563;-38.13080360867914
1739209761.194771;-38.13080360867914
1739209761.1947856;-45.120503652039325
