CAN Message; 0x77:ea68fed32fb77d7b
Timestamp;Amplitude
1739209889.9544852;-33.981070128970906
1739209889.954489;-32.816014438256545
1739209889.954493;-45.120503652039325
1739209889.9544969;-45.120503652039325
1739209889.9545007;-38.13080360867914
1739209889.9545045;-30.49652367304973
1739209889.9545085;-45.120503652039325
1739209889.9545124;-45.120503652039325
1739209889.9545162;-45.120503652039325
1739209889.95452;-45.120503652039325
1739209889.954524;-38.13080360867914
1739209889.9545279;-45.120503652039325
1739209889.9545317;-38.13080360867914
1739209889.9545357;-45.120503652039325
1739209889.9545395;-45.120503652039325
1739209889.9545434;-45.120503652039325
1739209889.9545472;-38.13080360867914
1739209889.9545512;-35.57807855764607
1739209889.954555;-45.120503652039325
1739209889.9545588;-45.120503652039325
1739209889.9545627;-38.13080360867914
1739209889.9545667;-27.267205301931607
1739209889.9545705;-35.57807855764607
1739209889.9545743;-38.13080360867914
1739209889.9545782;-38.13080360867914
1739209889.9545822;-38.13080360867914
1739209889.954586;-45.120503652039325
1739209889.9545898;-45.120503652039325
1739209889.954594;-45.120503652039325
1739209889.9545977;-38.13080360867914
1739209889.9546015;-45.120503652039325
1739209889.9546053;-45.120503652039325
1739209889.9546094;-38.13080360867914
1739209889.9546132;-45.120503652039325
1739209889.954617;-38.13080360867914
1739209889.9546208;-38.13080360867914
1739209889.954625;-45.120503652039325
1739209889.9546287;-38.13080360867914
1739209889.9546325;-45.120503652039325
1739209889.9546363;-45.120503652039325
1739209889.9546404;-45.120503652039325
1739209889.9546442;-38.13080360867914
1739209889.954648;-38.13080360867914
1739209889.954652;-45.120503652039325
1739209889.954656;-38.13080360867914
1739209889.9546597;-27.267205301931607
1739209889.9546635;-38.13080360867914
1739209889.9546676;-45.120503652039325
1739209889.9546714;-35.57807855764607
1739209889.9546752;-35.57807855764607
1739209889.954679;-45.120503652039325
1739209889.954683;-45.120503652039325
1739209889.9546869;-45.120503652039325
1739209889.9546907;-32.816014438256545
1739209889.9546945;-38.13080360867914
1739209889.9546986;-45.120503652039325
1739209889.9547024;-38.13080360867914
1739209889.9547062;-45.120503652039325
1739209889.9547102;-45.120503652039325
1739209889.954714;-45.120503652039325
1739209889.9547179;-45.120503652039325
1739209889.9547217;-28.992665084841942
1739209889.9547257;-38.13080360867914
1739209889.9547296;-45.120503652039325
1739209889.9547334;-38.13080360867914
1739209889.9547372;-35.57807855764607
1739209889.9547412;-45.120503652039325
1739209889.954745;-45.120503652039325
1739209889.9547489;-38.13080360867914
1739209889.9547527;-38.13080360867914
1739209889.9547567;-38.13080360867914
1739209889.9547606;-38.13080360867914
1739209889.9547644;-45.120503652039325
1739209889.9547684;-38.13080360867914
1739209889.9547722;-38.13080360867914
1739209889.954776;-45.120503652039325
1739209889.9547799;-38.13080360867914
1739209889.954784;-38.13080360867914
1739209889.9547877;-45.120503652039325
1739209889.9547915;-45.120503652039325
1739209889.9547954;-38.13080360867914
1739209889.9547994;-38.13080360867914
1739209889.9548032;-38.13080360867914
1739209889.954807;-45.120503652039325
1739209889.9548109;-33.981070128970906
1739209889.954815;-33.981070128970906
1739209889.9548187;-38.13080360867914
1739209889.9548225;-45.120503652039325
1739209889.9548266;-35.57807855764607
1739209889.9548304;-45.120503652039325
1739209889.9548342;-38.13080360867914
1739209889.954838;-38.13080360867914
1739209889.954842;-38.13080360867914
1739209889.954846;-38.13080360867914
1739209889.9548497;-33.981070128970906
1739209889.9548535;-45.120503652039325
1739209889.9548576;-45.120503652039325
1739209889.9548614;-38.13080360867914
1739209889.9548652;-45.120503652039325
1739209889.954869;-45.120503652039325
1739209889.954873;-45.120503652039325
1739209889.954877;-33.981070128970906
1739209889.9548807;-33.981070128970906
1739209889.9548848;-45.120503652039325
1739209889.9548886;-38.13080360867914
1739209889.9548924;-38.13080360867914
1739209889.9548962;-38.13080360867914
1739209889.9549003;-38.13080360867914
1739209889.954904;-38.13080360867914
1739209889.954908;-38.13080360867914
1739209889.9549117;-38.13080360867914
1739209889.9549158;-45.120503652039325
1739209889.9549196;-45.120503652039325
1739209889.9549234;-38.13080360867914
1739209889.9549272;-45.120503652039325
1739209889.9549313;-45.120503652039325
1739209889.954935;-45.120503652039325
1739209889.954939;-38.13080360867914
1739209889.954943;-38.13080360867914
1739209889.9549468;-38.13080360867914
1739209889.9549506;-45.120503652039325
1739209889.9549544;-45.120503652039325
1739209889.9549584;-35.57807855764607
1739209889.9549623;-35.57807855764607
1739209889.954966;-45.120503652039325
1739209889.95497;-38.13080360867914
1739209889.954974;-33.981070128970906
1739209889.9549778;-45.120503652039325
1739209889.9549816;-45.120503652039325
1739209889.9549854;-38.13080360867914
1739209889.9549894;-45.120503652039325
1739209889.9549932;-45.120503652039325
1739209889.954997;-45.120503652039325
1739209889.955001;-45.120503652039325
1739209889.955005;-38.13080360867914
1739209889.9550087;-35.57807855764607
1739209889.9550126;-38.13080360867914
1739209889.9550166;-45.120503652039325
1739209889.9550204;-33.981070128970906
1739209889.9550242;-45.120503652039325
1739209889.955028;-38.13080360867914
1739209889.955032;-38.13080360867914
1739209889.955036;-38.13080360867914
1739209889.9550397;-38.13080360867914
1739209889.9550436;-45.120503652039325
1739209889.9550476;-35.57807855764607
1739209889.9550514;-38.13080360867914
1739209889.9550552;-45.120503652039325
1739209889.9550593;-45.120503652039325
1739209889.955063;-45.120503652039325
1739209889.955067;-45.120503652039325
1739209889.9550707;-45.120503652039325
1739209889.9550748;-35.57807855764607
1739209889.9550786;-38.13080360867914
1739209889.9550824;-38.13080360867914
1739209889.9550862;-45.120503652039325
1739209889.9550903;-45.120503652039325
1739209889.955094;-45.120503652039325
1739209889.955098;-38.13080360867914
1739209889.9551017;-35.57807855764607
1739209889.9551058;-38.13080360867914
1739209889.9551096;-35.57807855764607
1739209889.9551134;-45.120503652039325
1739209889.9551175;-38.13080360867914
1739209889.9551213;-38.13080360867914
1739209889.955125;-38.13080360867914
1739209889.955129;-45.120503652039325
1739209889.955133;-45.120503652039325
1739209889.9551368;-45.120503652039325
1739209889.9551406;-38.13080360867914
1739209889.9551444;-45.120503652039325
1739209889.9551485;-45.120503652039325
1739209889.9551523;-45.120503652039325
1739209889.955156;-45.120503652039325
1739209889.95516;-45.120503652039325
1739209889.955164;-33.981070128970906
