CAN Message; 0x1d3:0000b790ac02d33a
Timestamp;Amplitude
1739209833.3566546;-38.13080360867914
1739209833.3566637;-33.981070128970906
1739209833.3566728;-33.981070128970906
1739209833.3566818;-45.120503652039325
1739209833.356691;-45.120503652039325
1739209833.3567;-35.57807855764607
1739209833.3567092;-45.120503652039325
1739209833.3567183;-33.981070128970906
1739209833.3567274;-28.58837851428586
1739209833.3567364;-45.120503652039325
1739209833.3567455;-45.120503652039325
1739209833.3567545;-45.120503652039325
1739209833.3567636;-35.57807855764607
1739209833.3567727;-35.57807855764607
1739209833.356782;-35.57807855764607
1739209833.356791;-45.120503652039325
1739209833.3568;-32.81601443825658
1739209833.3568091;-38.13080360867914
1739209833.3568182;-38.13080360867914
1739209833.3568273;-45.120503652039325
1739209833.3568363;-33.981070128970906
1739209833.3568456;-38.13080360867914
1739209833.3568547;-45.120503652039325
1739209833.3568637;-35.57807855764607
1739209833.3568728;-28.992665084841942
1739209833.3568819;-45.120503652039325
1739209833.356891;-45.120503652039325
1739209833.3569;-45.120503652039325
1739209833.3569093;-45.120503652039325
1739209833.3569183;-45.120503652039325
1739209833.3569274;-45.120503652039325
1739209833.3569365;-38.13080360867914
1739209833.3569455;-32.81601443825658
1739209833.3569546;-45.120503652039325
1739209833.3569636;-45.120503652039325
1739209833.3569727;-38.13080360867914
1739209833.356982;-45.120503652039325
1739209833.356991;-45.120503652039325
1739209833.357;-38.13080360867914
1739209833.3570092;-35.57807855764607
1739209833.3570182;-28.992665084841942
1739209833.3570273;-45.120503652039325
1739209833.3570364;-38.13080360867914
1739209833.3570457;-45.120503652039325
1739209833.3570547;-33.981070128970906
1739209833.3570638;-45.120503652039325
1739209833.3570728;-38.13080360867914
1739209833.357082;-38.13080360867914
1739209833.357091;-45.120503652039325
1739209833.3571;-45.120503652039325
1739209833.357109;-38.13080360867914
1739209833.3571184;-38.13080360867914
1739209833.3571274;-45.120503652039325
1739209833.3571365;-45.120503652039325
1739209833.3571455;-38.13080360867914
1739209833.3571546;-38.13080360867914
1739209833.3571637;-38.13080360867914
1739209833.3571727;-38.13080360867914
1739209833.357182;-45.120503652039325
1739209833.357191;-38.13080360867914
1739209833.3572001;-45.120503652039325
1739209833.3572092;-45.120503652039325
1739209833.3572183;-38.13080360867914
1739209833.3572273;-38.13080360867914
1739209833.3572364;-31.141103565318915
1739209833.3572454;-38.13080360867914
1739209833.3572547;-38.13080360867914
1739209833.3572638;-45.120503652039325
1739209833.3572729;-31.141103565318915
1739209833.357282;-35.57807855764607
1739209833.357291;-38.13080360867914
1739209833.3573;-35.57807855764607
1739209833.357309;-28.992665084841942
1739209833.3573184;-33.981070128970906
1739209833.3573275;-45.120503652039325
1739209833.3573365;-45.120503652039325
1739209833.3573456;-38.13080360867914
1739209833.3573546;-45.120503652039325
1739209833.3573637;-38.13080360867914
1739209833.3573728;-45.120503652039325
1739209833.357382;-38.13080360867914
1739209833.357391;-38.13080360867914
1739209833.3574002;-38.13080360867914
1739209833.3574092;-45.120503652039325
1739209833.3574183;-45.120503652039325
1739209833.3574274;-35.57807855764607
1739209833.3574364;-38.13080360867914
1739209833.3574455;-38.13080360867914
1739209833.3574548;-33.981070128970906
1739209833.3574638;-32.816014438256545
1739209833.357473;-38.13080360867914
1739209833.357482;-45.120503652039325
1739209833.357491;-45.120503652039325
1739209833.3575;-35.57807855764607
1739209833.3575091;-38.13080360867914
1739209833.3575184;-45.120503652039325
1739209833.3575275;-45.120503652039325
1739209833.3575366;-45.120503652039325
1739209833.3575456;-38.13080360867914
1739209833.3575547;-45.120503652039325
1739209833.3575637;-38.13080360867914
1739209833.3575728;-38.13080360867914
1739209833.3575819;-45.120503652039325
1739209833.3575912;-45.120503652039325
1739209833.3576002;-45.120503652039325
1739209833.3576093;-38.13080360867914
1739209833.3576183;-35.57807855764607
1739209833.3576274;-38.13080360867914
1739209833.3576365;-38.13080360867914
1739209833.3576455;-38.13080360867914
1739209833.3576548;-45.120503652039325
1739209833.3576639;-38.13080360867914
1739209833.357673;-35.57807855764607
1739209833.357682;-38.13080360867914
1739209833.357691;-45.120503652039325
1739209833.3577;-38.13080360867914
1739209833.3577092;-35.57807855764607
1739209833.3577185;-45.120503652039325
1739209833.3577275;-45.120503652039325
1739209833.3577366;-33.981070128970906
1739209833.3577456;-45.120503652039325
1739209833.3577547;-45.120503652039325
1739209833.3577638;-38.13080360867914
1739209833.3577728;-35.57807855764607
1739209833.357782;-38.13080360867914
1739209833.3577912;-38.13080360867914
1739209833.3578002;-38.13080360867914
1739209833.3578093;-45.120503652039325
