CAN Message; 0x1d3:0000e178396d4ff6
Timestamp;Amplitude
1739209865.1312664;-38.13080360867914
1739209865.131274;-38.13080360867914
1739209865.1312814;-38.13080360867914
1739209865.1312888;-45.120503652039325
1739209865.1312964;-38.13080360867914
1739209865.1313038;-35.57807855764607
1739209865.1313114;-35.57807855764607
1739209865.1313188;-45.120503652039325
1739209865.1313264;-38.13080360867914
1739209865.1313338;-45.120503652039325
1739209865.1313415;-31.141103565318915
1739209865.1313488;-38.13080360867914
1739209865.1313565;-35.57807855764607
1739209865.1313639;-38.13080360867914
1739209865.1313715;-38.13080360867914
1739209865.131379;-38.13080360867914
1739209865.1313865;-38.13080360867914
1739209865.131394;-45.120503652039325
1739209865.1314015;-33.981070128970906
1739209865.131409;-45.120503652039325
1739209865.1314166;-38.13080360867914
1739209865.131424;-35.57807855764607
1739209865.1314316;-38.13080360867914
1739209865.131439;-45.120503652039325
1739209865.1314466;-45.120503652039325
1739209865.131454;-38.13080360867914
1739209865.1314616;-31.141103565318915
1739209865.131469;-38.13080360867914
1739209865.1314766;-38.13080360867914
1739209865.131484;-38.13080360867914
1739209865.1314917;-38.13080360867914
1739209865.131499;-45.120503652039325
1739209865.1315067;-45.120503652039325
1739209865.131514;-45.120503652039325
1739209865.1315217;-45.120503652039325
1739209865.131529;-45.120503652039325
1739209865.1315367;-45.120503652039325
1739209865.131544;-45.120503652039325
1739209865.1315517;-35.57807855764607
1739209865.1315591;-35.57807855764607
1739209865.1315668;-38.13080360867914
1739209865.1315742;-45.120503652039325
1739209865.1315818;-31.141103565318915
1739209865.1315892;-33.981070128970906
1739209865.1315968;-45.120503652039325
1739209865.1316042;-45.120503652039325
1739209865.1316118;-38.13080360867914
1739209865.1316192;-45.120503652039325
1739209865.1316268;-45.120503652039325
1739209865.1316342;-33.981070128970906
1739209865.1316419;-30.49652367304973
1739209865.1316493;-38.13080360867914
1739209865.131657;-38.13080360867914
1739209865.1316643;-38.13080360867914
1739209865.1316717;-45.120503652039325
1739209865.1316793;-38.13080360867914
1739209865.1316867;-45.120503652039325
1739209865.1316943;-45.120503652039325
1739209865.1317017;-30.49652367304973
1739209865.1317093;-31.141103565318915
1739209865.1317167;-38.13080360867914
1739209865.1317244;-45.120503652039325
1739209865.1317317;-38.13080360867914
1739209865.1317394;-38.13080360867914
1739209865.1317468;-45.120503652039325
1739209865.1317544;-45.120503652039325
1739209865.1317618;-38.13080360867914
1739209865.1317694;-38.13080360867914
1739209865.1317768;-38.13080360867914
1739209865.1317844;-32.816014438256545
1739209865.1317918;-38.13080360867914
1739209865.1317995;-45.120503652039325
1739209865.1318069;-38.13080360867914
1739209865.1318145;-35.57807855764607
1739209865.1318219;-45.120503652039325
1739209865.1318295;-45.120503652039325
1739209865.131837;-38.13080360867914
1739209865.1318445;-38.13080360867914
1739209865.131852;-45.120503652039325
1739209865.1318595;-38.13080360867914
1739209865.131867;-38.13080360867914
1739209865.1318746;-45.120503652039325
1739209865.131882;-38.13080360867914
1739209865.1318896;-31.141103565318915
1739209865.131897;-45.120503652039325
1739209865.1319046;-45.120503652039325
1739209865.131912;-38.13080360867914
1739209865.1319196;-38.13080360867914
1739209865.131927;-45.120503652039325
1739209865.1319346;-33.981070128970906
1739209865.131942;-38.13080360867914
1739209865.1319497;-32.81601443825658
1739209865.131957;-38.13080360867914
1739209865.1319647;-35.57807855764607
1739209865.131972;-33.981070128970906
1739209865.1319797;-38.13080360867914
1739209865.131987;-38.13080360867914
1739209865.1319947;-45.120503652039325
1739209865.132002;-33.981070128970906
1739209865.1320097;-28.992665084841942
1739209865.1320171;-45.120503652039325
1739209865.1320248;-45.120503652039325
1739209865.1320322;-38.13080360867914
1739209865.1320398;-38.13080360867914
1739209865.1320472;-45.120503652039325
1739209865.1320546;-45.120503652039325
1739209865.1320622;-45.120503652039325
1739209865.1320696;-33.981070128970956
1739209865.1320772;-45.120503652039325
