CAN Message; 0x1b8:02008b1f66a671f1
Timestamp;Amplitude
1739209806.2439928;-45.120503652039325
1739209806.2439954;-38.13080360867914
1739209806.243998;-38.13080360867914
1739209806.2440007;-45.120503652039325
1739209806.2440033;-45.120503652039325
1739209806.244006;-45.120503652039325
1739209806.2440083;-38.13080360867914
1739209806.244011;-35.57807855764607
1739209806.2440135;-38.13080360867914
1739209806.2440162;-45.120503652039325
1739209806.2440188;-45.120503652039325
1739209806.2440214;-38.13080360867914
1739209806.2440238;-45.120503652039325
1739209806.2440264;-45.120503652039325
1739209806.244029;-38.13080360867914
1739209806.2440317;-35.57807855764607
1739209806.2440343;-45.120503652039325
1739209806.244037;-45.120503652039325
1739209806.2440393;-38.13080360867914
1739209806.244042;-45.120503652039325
1739209806.2440445;-45.120503652039325
1739209806.2440472;-45.120503652039325
1739209806.2440498;-38.13080360867914
1739209806.2440524;-45.120503652039325
1739209806.2440548;-45.120503652039325
1739209806.2440574;-45.120503652039325
1739209806.24406;-33.981070128970906
1739209806.2440627;-45.120503652039325
1739209806.2440653;-38.13080360867914
1739209806.2440677;-35.57807855764607
1739209806.2440703;-45.120503652039325
1739209806.244073;-28.992665084841942
1739209806.2440755;-30.49652367304973
1739209806.2440782;-38.13080360867914
1739209806.2440808;-38.13080360867914
1739209806.2440832;-38.13080360867914
1739209806.2440858;-38.13080360867914
1739209806.2440884;-35.57807855764607
1739209806.244091;-38.13080360867914
1739209806.2440937;-38.13080360867914
1739209806.2440963;-45.120503652039325
1739209806.2440987;-38.13080360867914
1739209806.2441013;-45.120503652039325
1739209806.244104;-38.13080360867914
1739209806.2441065;-38.13080360867914
1739209806.2441092;-45.120503652039325
1739209806.2441118;-38.13080360867914
1739209806.2441142;-38.13080360867914
1739209806.2441168;-38.13080360867914
1739209806.2441194;-45.120503652039325
1739209806.244122;-38.13080360867914
1739209806.2441247;-38.13080360867914
1739209806.2441273;-45.120503652039325
1739209806.2441297;-45.120503652039325
1739209806.2441323;-38.13080360867914
1739209806.244135;-35.57807855764607
1739209806.2441375;-38.13080360867914
1739209806.2441401;-45.120503652039325
1739209806.2441428;-45.120503652039325
1739209806.2441452;-38.13080360867914
1739209806.2441478;-35.57807855764607
1739209806.2441504;-45.120503652039325
1739209806.244153;-38.13080360867914
1739209806.2441556;-45.120503652039325
1739209806.244158;-45.120503652039325
1739209806.2441607;-45.120503652039325
1739209806.2441633;-45.120503652039325
1739209806.244166;-45.120503652039325
1739209806.2441685;-45.120503652039325
1739209806.2441711;-38.13080360867914
1739209806.2441735;-38.13080360867914
1739209806.2441761;-38.13080360867914
1739209806.2441788;-31.141103565318915
1739209806.2441814;-45.120503652039325
1739209806.244184;-38.13080360867914
1739209806.2441866;-35.57807855764607
1739209806.244189;-35.57807855764607
