CAN Message; 0x1a7:0000e0bc38968105
Timestamp;Amplitude
1739209706.3236125;-33.981070128970906
1739209706.3236146;-28.21854285175415
1739209706.3236167;-27.267205301931607
1739209706.323619;-32.816014438256545
1739209706.323621;-45.120503652039325
1739209706.3236234;-38.13080360867914
1739209706.3236256;-45.120503652039325
1739209706.3236277;-38.13080360867914
1739209706.3236299;-38.13080360867914
1739209706.323632;-31.141103565318915
1739209706.3236341;-38.13080360867914
1739209706.3236363;-32.81601443825658
1739209706.3236387;-30.49652367304973
1739209706.3236408;-38.13080360867914
1739209706.323643;-27.267205301931607
1739209706.323645;-35.57807855764607
1739209706.3236473;-28.992665084841942
1739209706.3236494;-28.218542851754165
1739209706.3236516;-38.13080360867914
1739209706.323654;-25.077289914212862
1739209706.323656;-38.13080360867914
1739209706.3236582;-25.826314394896357
1739209706.3236604;-24.746238672633048
1739209706.3236625;-32.816014438256545
1739209706.3236647;-38.13080360867914
1739209706.3236668;-45.120503652039325
1739209706.3236692;-28.58837851428586
1739209706.3236713;-38.13080360867914
1739209706.3236735;-28.992665084841942
1739209706.3236756;-28.992665084841942
1739209706.3236778;-33.981070128970906
1739209706.32368;-31.141103565318943
1739209706.323682;-32.816014438256545
1739209706.3236845;-27.267205301931607
1739209706.3236866;-32.81601443825658
1739209706.3236887;-32.81601443825658
1739209706.323691;-31.141103565318943
1739209706.323693;-31.141103565318915
1739209706.3236952;-38.13080360867914
1739209706.3236973;-25.62660358559016
1739209706.3236997;-38.13080360867914
1739209706.3237019;-30.49652367304976
1739209706.323704;-23.50682362968953
1739209706.3237062;-27.267205301931607
1739209706.3237083;-38.13080360867914
1739209706.3237104;-30.49652367304973
1739209706.3237126;-26.991370085610722
1739209706.323715;-32.816014438256545
1739209706.323717;-38.13080360867914
1739209706.3237193;-24.438645034577675
1739209706.3237214;-30.49652367304973
1739209706.3237236;-33.981070128970956
1739209706.3237257;-38.13080360867914
1739209706.3237278;-28.58837851428586
1739209706.3237302;-31.141103565318943
1739209706.3237324;-33.981070128970956
1739209706.3237345;-33.981070128970906
1739209706.3237367;-27.8777449560314
1739209706.3237388;-31.14110356531892
1739209706.323741;-30.49652367304973
1739209706.323743;-45.120503652039325
1739209706.3237455;-28.992665084841942
1739209706.3237476;-25.826314394896357
1739209706.3237498;-45.120503652039325
1739209706.323752;-32.81601443825658
1739209706.323754;-28.992665084841942
1739209706.3237562;-28.58837851428586
1739209706.3237584;-30.49652367304973
1739209706.3237607;-38.13080360867914
1739209706.323763;-33.981070128970906
1739209706.323765;-30.49652367304973
1739209706.3237672;-26.991370085610722
1739209706.3237693;-33.981070128970906
1739209706.3237715;-32.816014438256545
1739209706.3237736;-31.141103565318943
1739209706.323776;-38.13080360867914
1739209706.3237782;-29.438486411369354
1739209706.3237803;-35.57807855764607
1739209706.3237824;-45.120503652039325
1739209706.3237846;-45.120503652039325
1739209706.3237867;-33.981070128970906
1739209706.323789;-38.13080360867914
1739209706.3237913;-45.120503652039325
1739209706.3237934;-32.816014438256545
1739209706.3237956;-28.58837851428586
1739209706.3237977;-35.57807855764607
1739209706.3237998;-32.816014438256545
1739209706.323802;-33.981070128970956
1739209706.3238041;-33.981070128970906
1739209706.3238065;-45.120503652039325
1739209706.3238087;-35.57807855764607
1739209706.3238108;-33.981070128970906
1739209706.323813;-28.992665084841942
1739209706.323815;-45.120503652039325
1739209706.3238173;-35.57807855764607
1739209706.3238194;-31.141103565318915
1739209706.3238218;-31.141103565318915
1739209706.323824;-30.49652367304976
1739209706.323826;-26.991370085610722
1739209706.3238282;-31.14110356531892
1739209706.3238304;-45.120503652039325
1739209706.3238325;-38.13080360867914
1739209706.3238347;-25.826314394896357
1739209706.323837;-32.816014438256545
1739209706.3238392;-45.120503652039325
1739209706.3238413;-33.981070128970906
1739209706.3238435;-38.13080360867914
1739209706.3238456;-28.992665084841942
1739209706.3238478;-25.252786309376837
1739209706.3238502;-29.438486411369354
1739209706.3238523;-33.981070128970956
1739209706.3238544;-31.141103565318915
1739209706.3238566;-38.13080360867914
1739209706.3238587;-32.816014438256545
1739209706.323861;-33.981070128970956
1739209706.323863;-27.8777449560314
1739209706.3238654;-31.14110356531892
1739209706.3238676;-38.13080360867914
1739209706.3238697;-30.49652367304973
1739209706.3238719;-45.120503652039325
1739209706.323874;-27.267205301931607
1739209706.3238761;-45.120503652039325
1739209706.3238783;-38.13080360867914
1739209706.3238807;-45.120503652039325
1739209706.3238828;-45.120503652039325
1739209706.323885;-25.826314394896357
1739209706.323887;-30.49652367304973
1739209706.3238893;-38.13080360867914
1739209706.3238914;-28.58837851428586
1739209706.3238935;-45.120503652039325
1739209706.323896;-27.267205301931607
1739209706.323898;-26.487275050834725
1739209706.3239002;-32.816014438256545
1739209706.3239024;-31.141103565318893
1739209706.3239045;-45.120503652039325
1739209706.3239067;-29.438486411369333
1739209706.3239088;-38.13080360867914
1739209706.3239112;-33.981070128970956
1739209706.3239133;-26.991370085610754
1739209706.3239155;-29.438486411369333
1739209706.3239176;-38.13080360867914
1739209706.3239198;-27.267205301931607
1739209706.323922;-31.141103565318915
1739209706.323924;-32.816014438256545
1739209706.3239264;-32.816014438256545
1739209706.3239286;-35.57807855764607
1739209706.3239307;-45.120503652039325
1739209706.323933;-38.13080360867914
1739209706.323935;-45.120503652039325
1739209706.3239372;-31.141103565318943
1739209706.3239393;-45.120503652039325
1739209706.3239417;-38.13080360867914
1739209706.3239439;-38.13080360867914
1739209706.323946;-45.120503652039325
1739209706.3239481;-32.816014438256545
1739209706.3239503;-31.141103565318915
1739209706.3239524;-28.58837851428586
1739209706.3239546;-32.816014438256545
1739209706.323957;-38.13080360867914
1739209706.323959;-31.141103565318943
1739209706.3239613;-26.03565346325281
1739209706.3239634;-24.15140352195872
1739209706.3239655;-28.992665084841942
1739209706.3239677;-45.120503652039325
1739209706.3239698;-38.13080360867914
1739209706.3239722;-38.13080360867914
1739209706.3239744;-38.13080360867914
