CAN Message; 0x98:00002df07c4ca8ad
Timestamp;Amplitude
1739209765.1797814;-45.120503652039325
1739209765.1797872;-38.13080360867914
1739209765.179793;-38.13080360867914
1739209765.1797986;-45.120503652039325
1739209765.1798043;-38.13080360867914
1739209765.17981;-35.57807855764607
1739209765.1798158;-38.13080360867914
1739209765.1798217;-38.13080360867914
1739209765.1798275;-45.120503652039325
1739209765.1798332;-38.13080360867914
1739209765.179839;-38.13080360867914
1739209765.1798446;-45.120503652039325
1739209765.1798503;-45.120503652039325
1739209765.179856;-45.120503652039325
1739209765.1798618;-38.13080360867914
1739209765.1798675;-45.120503652039325
1739209765.1798732;-45.120503652039325
1739209765.179879;-45.120503652039325
1739209765.1798847;-33.981070128970906
1739209765.1798904;-38.13080360867914
1739209765.179896;-45.120503652039325
1739209765.179902;-38.13080360867914
1739209765.1799078;-45.120503652039325
1739209765.1799135;-45.120503652039325
1739209765.1799192;-45.120503652039325
1739209765.179925;-45.120503652039325
1739209765.1799307;-38.13080360867914
1739209765.1799364;-38.13080360867914
1739209765.1799421;-38.13080360867914
1739209765.1799479;-45.120503652039325
1739209765.1799536;-38.13080360867914
1739209765.1799593;-45.120503652039325
1739209765.179965;-45.120503652039325
1739209765.1799707;-45.120503652039325
1739209765.1799767;-38.13080360867914
1739209765.1799824;-45.120503652039325
1739209765.1799881;-45.120503652039325
1739209765.1799939;-45.120503652039325
1739209765.1799996;-45.120503652039325
1739209765.1800053;-38.13080360867914
1739209765.180011;-45.120503652039325
1739209765.1800168;-38.13080360867914
1739209765.1800225;-38.13080360867914
1739209765.1800282;-45.120503652039325
1739209765.180034;-33.981070128970906
1739209765.1800396;-38.13080360867914
1739209765.1800454;-33.981070128970906
1739209765.1800513;-38.13080360867914
1739209765.180057;-45.120503652039325
1739209765.1800628;-45.120503652039325
1739209765.1800685;-35.57807855764607
1739209765.1800742;-31.141103565318893
1739209765.18008;-38.13080360867914
1739209765.1800857;-38.13080360867914
1739209765.1800914;-38.13080360867914
1739209765.180097;-32.816014438256545
1739209765.1801028;-45.120503652039325
1739209765.1801085;-45.120503652039325
1739209765.1801143;-45.120503652039325
1739209765.18012;-45.120503652039325
1739209765.180126;-45.120503652039325
1739209765.1801317;-38.13080360867914
1739209765.1801374;-38.13080360867914
1739209765.180143;-38.13080360867914
1739209765.1801488;-45.120503652039325
1739209765.1801546;-45.120503652039325
1739209765.1801603;-38.13080360867914
1739209765.180166;-35.57807855764607
1739209765.1801717;-38.13080360867914
1739209765.1801775;-45.120503652039325
1739209765.1801832;-38.13080360867914
1739209765.180189;-32.816014438256545
1739209765.1801946;-45.120503652039325
1739209765.1802006;-45.120503652039325
1739209765.1802063;-38.13080360867914
1739209765.180212;-30.49652367304973
1739209765.1802177;-38.13080360867914
1739209765.1802235;-45.120503652039325
1739209765.1802292;-45.120503652039325
1739209765.180235;-35.57807855764607
1739209765.1802406;-38.13080360867914
1739209765.1802464;-45.120503652039325
1739209765.180252;-45.120503652039325
1739209765.1802578;-33.981070128970956
1739209765.1802635;-45.120503652039325
1739209765.1802692;-45.120503652039325
1739209765.1802752;-45.120503652039325
1739209765.180281;-45.120503652039325
1739209765.1802866;-45.120503652039325
1739209765.1802924;-45.120503652039325
1739209765.180298;-38.13080360867914
1739209765.1803038;-29.438486411369333
1739209765.1803095;-38.13080360867914
1739209765.1803153;-45.120503652039325
1739209765.180321;-38.13080360867914
1739209765.1803267;-38.13080360867914
1739209765.1803324;-38.13080360867914
1739209765.1803381;-45.120503652039325
1739209765.1803439;-45.120503652039325
1739209765.1803498;-45.120503652039325
1739209765.1803555;-38.13080360867914
1739209765.1803613;-45.120503652039325
1739209765.180367;-45.120503652039325
1739209765.1803727;-45.120503652039325
1739209765.1803784;-45.120503652039325
1739209765.1803842;-45.120503652039325
1739209765.18039;-45.120503652039325
1739209765.1803956;-38.13080360867914
1739209765.1804013;-38.13080360867914
1739209765.180407;-32.816014438256545
1739209765.1804128;-45.120503652039325
1739209765.1804185;-38.13080360867914
1739209765.1804245;-45.120503652039325
1739209765.1804302;-35.57807855764607
1739209765.180436;-45.120503652039325
1739209765.1804416;-31.141103565318915
1739209765.1804473;-32.816014438256545
1739209765.180453;-35.57807855764607
1739209765.1804588;-38.13080360867914
1739209765.1804645;-35.57807855764607
1739209765.1804702;-38.13080360867914
1739209765.180476;-45.120503652039325
1739209765.1804817;-45.120503652039325
1739209765.1804874;-38.13080360867914
1739209765.180493;-38.13080360867914
1739209765.1804988;-32.816014438256545
1739209765.1805048;-45.120503652039325
1739209765.1805105;-45.120503652039325
1739209765.1805162;-45.120503652039325
1739209765.180522;-38.13080360867914
1739209765.1805277;-45.120503652039325
1739209765.1805334;-45.120503652039325
1739209765.1805391;-38.13080360867914
1739209765.1805449;-38.13080360867914
1739209765.1805506;-45.120503652039325
1739209765.1805563;-45.120503652039325
1739209765.180562;-45.120503652039325
1739209765.1805677;-38.13080360867914
1739209765.1805735;-45.120503652039325
1739209765.1805794;-45.120503652039325
1739209765.1805851;-45.120503652039325
1739209765.1805909;-45.120503652039325
1739209765.1805966;-45.120503652039325
1739209765.1806023;-35.57807855764607
1739209765.180608;-35.57807855764607
1739209765.1806138;-45.120503652039325
1739209765.1806195;-38.13080360867914
1739209765.1806252;-38.13080360867914
1739209765.180631;-38.13080360867914
1739209765.1806366;-45.120503652039325
1739209765.1806424;-38.13080360867914
1739209765.180648;-35.57807855764607
1739209765.180654;-38.13080360867914
1739209765.1806598;-45.120503652039325
1739209765.1806655;-45.120503652039325
1739209765.1806712;-33.981070128970906
1739209765.180677;-33.981070128970906
1739209765.1806827;-45.120503652039325
1739209765.1806884;-45.120503652039325
1739209765.180694;-38.13080360867914
1739209765.1806998;-33.981070128970906
1739209765.1807055;-45.120503652039325
1739209765.1807113;-38.13080360867914
1739209765.180717;-38.13080360867914
1739209765.1807227;-45.120503652039325
1739209765.1807287;-45.120503652039325
1739209765.1807344;-45.120503652039325
1739209765.18074;-45.120503652039325
1739209765.1807458;-45.120503652039325
1739209765.1807516;-45.120503652039325
1739209765.1807573;-45.120503652039325
1739209765.180763;-45.120503652039325
1739209765.1807687;-45.120503652039325
1739209765.1807745;-45.120503652039325
1739209765.1807802;-45.120503652039325
1739209765.180786;-45.120503652039325
1739209765.1807916;-45.120503652039325
1739209765.1807973;-45.120503652039325
1739209765.1808033;-38.13080360867914
1739209765.180809;-35.57807855764607
1739209765.1808147;-38.13080360867914
1739209765.1808205;-45.120503652039325
1739209765.1808262;-38.13080360867914
1739209765.180832;-35.57807855764607
1739209765.1808376;-38.13080360867914
1739209765.1808434;-45.120503652039325
1739209765.180849;-38.13080360867914
1739209765.1808548;-35.57807855764607
1739209765.1808605;-38.13080360867914
1739209765.1808662;-45.120503652039325
1739209765.180872;-33.981070128970906
1739209765.180878;-35.57807855764607
1739209765.1808836;-45.120503652039325
1739209765.1808894;-45.120503652039325
1739209765.180895;-33.981070128970906
1739209765.1809008;-38.13080360867914
1739209765.1809065;-35.57807855764607
1739209765.1809123;-38.13080360867914
1739209765.180918;-38.13080360867914
1739209765.1809237;-32.816014438256545
1739209765.1809294;-33.981070128970906
1739209765.1809351;-45.120503652039325
1739209765.1809409;-45.120503652039325
1739209765.1809466;-35.57807855764607
1739209765.1809525;-45.120503652039325
1739209765.1809583;-45.120503652039325
1739209765.180964;-45.120503652039325
1739209765.1809697;-45.120503652039325
1739209765.1809754;-45.120503652039325
1739209765.1809812;-45.120503652039325
1739209765.180987;-38.13080360867914
1739209765.1809926;-45.120503652039325
1739209765.1809983;-32.816014438256545
1739209765.181004;-30.49652367304973
1739209765.1810098;-35.57807855764607
1739209765.1810155;-45.120503652039325
1739209765.1810212;-35.57807855764607
1739209765.181027;-35.57807855764607
1739209765.181033;-38.13080360867914
1739209765.1810386;-45.120503652039325
1739209765.1810443;-45.120503652039325
1739209765.18105;-45.120503652039325
1739209765.1810558;-45.120503652039325
1739209765.1810615;-45.120503652039325
1739209765.1810672;-31.141103565318915
1739209765.181073;-45.120503652039325
1739209765.1810787;-38.13080360867914
