CAN Message; 0x1d3:000042c25575a59d
Timestamp;Amplitude
1739209855.3925717;-35.57807855764607
1739209855.3925738;-33.981070128970906
1739209855.392576;-45.120503652039325
1739209855.392578;-45.120503652039325
1739209855.39258;-38.13080360867914
1739209855.3925822;-38.13080360867914
1739209855.3925843;-45.120503652039325
1739209855.3925862;-33.981070128970906
1739209855.3925884;-45.120503652039325
1739209855.3925905;-38.13080360867914
1739209855.3925927;-45.120503652039325
1739209855.3925946;-38.13080360867914
1739209855.3925967;-45.120503652039325
1739209855.3925989;-38.13080360867914
1739209855.392601;-45.120503652039325
1739209855.392603;-38.13080360867914
1739209855.392605;-38.13080360867914
1739209855.3926072;-45.120503652039325
1739209855.3926094;-45.120503652039325
1739209855.3926113;-45.120503652039325
1739209855.3926134;-45.120503652039325
1739209855.3926156;-45.120503652039325
1739209855.3926177;-38.13080360867914
1739209855.3926196;-38.13080360867914
1739209855.3926218;-45.120503652039325
1739209855.392624;-38.13080360867914
1739209855.3926258;-35.57807855764607
1739209855.392628;-38.13080360867914
1739209855.39263;-45.120503652039325
1739209855.3926322;-38.13080360867914
1739209855.3926342;-45.120503652039325
1739209855.3926363;-38.13080360867914
1739209855.3926384;-45.120503652039325
1739209855.3926406;-38.13080360867914
1739209855.3926425;-45.120503652039325
1739209855.3926446;-45.120503652039325
1739209855.3926468;-38.13080360867914
1739209855.392649;-38.13080360867914
1739209855.3926508;-35.57807855764607
1739209855.392653;-38.13080360867914
1739209855.3926551;-35.57807855764607
1739209855.3926573;-38.13080360867914
1739209855.3926592;-38.13080360867914
1739209855.3926613;-35.57807855764607
1739209855.3926635;-38.13080360867914
1739209855.3926656;-45.120503652039325
1739209855.3926675;-45.120503652039325
1739209855.3926697;-45.120503652039325
1739209855.3926718;-45.120503652039325
1739209855.392674;-38.13080360867914
1739209855.3926759;-45.120503652039325
1739209855.392678;-45.120503652039325
1739209855.3926802;-45.120503652039325
1739209855.3926823;-45.120503652039325
1739209855.3926842;-35.57807855764607
1739209855.3926864;-38.13080360867914
1739209855.3926885;-32.816014438256545
1739209855.3926904;-45.120503652039325
1739209855.3926926;-38.13080360867914
1739209855.3926947;-33.981070128970906
1739209855.3926969;-38.13080360867914
1739209855.3926988;-45.120503652039325
1739209855.392701;-38.13080360867914
1739209855.392703;-33.981070128970906
1739209855.3927052;-45.120503652039325
1739209855.392707;-38.13080360867914
1739209855.3927093;-38.13080360867914
1739209855.3927114;-45.120503652039325
