CAN Message; 0x1bb:000065bcddb97c2c
Timestamp;Amplitude
1739209682.3433807;-45.120503652039325
1739209682.343385;-38.13080360867914
1739209682.3433893;-32.81601443825658
1739209682.3433933;-38.13080360867914
1739209682.3433976;-38.13080360867914
1739209682.343402;-45.120503652039325
1739209682.3434062;-38.13080360867914
1739209682.3434105;-38.13080360867914
1739209682.3434145;-33.981070128970906
1739209682.3434188;-38.13080360867914
1739209682.3434231;-31.141103565318915
1739209682.3434274;-32.816014438256545
1739209682.3434317;-38.13080360867914
1739209682.3434358;-38.13080360867914
1739209682.34344;-35.57807855764607
1739209682.3434443;-45.120503652039325
1739209682.3434486;-38.13080360867914
1739209682.343453;-33.981070128970906
1739209682.343457;-38.13080360867914
1739209682.3434613;-45.120503652039325
1739209682.3434656;-45.120503652039325
1739209682.3434699;-45.120503652039325
1739209682.3434741;-45.120503652039325
1739209682.3434782;-32.816014438256545
1739209682.3434825;-38.13080360867914
1739209682.3434868;-38.13080360867914
1739209682.343491;-32.816014438256545
1739209682.3434954;-38.13080360867914
1739209682.3434994;-33.981070128970906
1739209682.3435037;-45.120503652039325
1739209682.343508;-45.120503652039325
1739209682.3435123;-45.120503652039325
1739209682.3435166;-38.13080360867914
1739209682.3435206;-45.120503652039325
1739209682.343525;-33.981070128970906
1739209682.3435292;-32.816014438256545
1739209682.3435335;-38.13080360867914
1739209682.3435378;-45.120503652039325
1739209682.3435419;-33.981070128970906
1739209682.3435462;-38.13080360867914
1739209682.3435504;-45.120503652039325
1739209682.3435547;-45.120503652039325
1739209682.343559;-45.120503652039325
1739209682.343563;-38.13080360867914
1739209682.3435674;-38.13080360867914
1739209682.3435717;-38.13080360867914
1739209682.343576;-38.13080360867914
1739209682.3435802;-32.816014438256545
1739209682.3435845;-35.57807855764607
1739209682.3435886;-45.120503652039325
1739209682.343593;-33.981070128970906
1739209682.3435972;-38.13080360867914
1739209682.3436015;-45.120503652039325
1739209682.3436058;-45.120503652039325
1739209682.3436098;-38.13080360867914
1739209682.343614;-38.13080360867914
1739209682.3436184;-45.120503652039325
1739209682.3436227;-45.120503652039325
1739209682.343627;-45.120503652039325
1739209682.343631;-45.120503652039325
1739209682.3436353;-38.13080360867914
1739209682.3436396;-45.120503652039325
1739209682.343644;-45.120503652039325
1739209682.3436482;-33.981070128970906
1739209682.3436522;-33.981070128970906
1739209682.3436565;-45.120503652039325
1739209682.3436608;-38.13080360867914
1739209682.3436651;-31.141103565318893
1739209682.3436694;-45.120503652039325
1739209682.3436735;-45.120503652039325
1739209682.3436778;-33.981070128970906
1739209682.343682;-45.120503652039325
1739209682.3436863;-45.120503652039325
1739209682.3436906;-45.120503652039325
1739209682.3436947;-45.120503652039325
1739209682.343699;-45.120503652039325
1739209682.3437033;-38.13080360867914
1739209682.3437076;-35.57807855764607
1739209682.3437119;-35.57807855764607
1739209682.343716;-45.120503652039325
1739209682.3437202;-38.13080360867914
1739209682.3437245;-38.13080360867914
1739209682.3437288;-38.13080360867914
