CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.426494;-27.8777449560314
1739209868.426497;-38.13080360867914
1739209868.4265;-26.991370085610747
1739209868.4265032;-23.75329798047522
1739209868.4265063;-28.992665084841942
1739209868.4265094;-38.13080360867914
1739209868.4265125;-23.38864096791655
1739209868.4265156;-45.120503652039325
1739209868.4265187;-38.13080360867914
1739209868.4265215;-33.981070128970906
1739209868.4265246;-38.13080360867914
1739209868.4265277;-38.13080360867914
1739209868.4265308;-45.120503652039325
1739209868.426534;-33.981070128970906
1739209868.426537;-28.588378514285886
1739209868.4265401;-28.992665084841967
1739209868.4265432;-20.16506027657481
1739209868.426546;-33.981070128970906
1739209868.4265492;-33.981070128970906
1739209868.4265523;-33.981070128970906
1739209868.4265554;-45.120503652039325
1739209868.4265585;-32.816014438256545
1739209868.4265616;-38.13080360867914
1739209868.4265647;-45.120503652039325
1739209868.4265678;-45.120503652039325
1739209868.426571;-38.13080360867914
1739209868.4265738;-33.981070128970906
1739209868.4265769;-38.13080360867914
1739209868.42658;-38.13080360867914
1739209868.426583;-35.57807855764607
1739209868.4265862;-45.120503652039325
1739209868.4265893;-45.120503652039325
1739209868.4265924;-45.120503652039325
1739209868.4265954;-45.120503652039325
1739209868.4265985;-45.120503652039325
1739209868.4266014;-38.13080360867914
1739209868.4266045;-38.13080360867914
1739209868.4266076;-45.120503652039325
1739209868.4266107;-45.120503652039325
1739209868.4266138;-45.120503652039325
1739209868.426617;-31.141103565318915
1739209868.42662;-38.13080360867914
1739209868.426623;-45.120503652039325
1739209868.426626;-38.13080360867914
1739209868.426629;-38.13080360867914
1739209868.4266322;-45.120503652039325
1739209868.4266353;-45.120503652039325
1739209868.4266384;-45.120503652039325
1739209868.4266415;-45.120503652039325
1739209868.4266446;-45.120503652039325
1739209868.4266477;-45.120503652039325
1739209868.4266508;-38.13080360867914
1739209868.4266536;-38.13080360867914
1739209868.4266567;-45.120503652039325
1739209868.4266598;-38.13080360867914
1739209868.426663;-45.120503652039325
1739209868.426666;-38.13080360867914
1739209868.4266691;-38.13080360867914
1739209868.4266722;-45.120503652039325
1739209868.4266753;-38.13080360867914
1739209868.4266782;-33.981070128970906
1739209868.4266813;-32.816014438256545
1739209868.4266844;-38.13080360867914
1739209868.4266875;-33.981070128970906
1739209868.4266906;-38.13080360867914
1739209868.4266937;-38.13080360867914
1739209868.4266968;-38.13080360867914
1739209868.4266999;-45.120503652039325
1739209868.426703;-45.120503652039325
1739209868.4267058;-45.120503652039325
1739209868.426709;-38.13080360867914
1739209868.426712;-45.120503652039325
1739209868.4267151;-38.13080360867914
1739209868.4267182;-38.13080360867914
1739209868.4267213;-45.120503652039325
1739209868.4267244;-45.120503652039325
1739209868.4267275;-38.13080360867914
1739209868.4267304;-33.981070128970906
1739209868.4267335;-38.13080360867914
1739209868.4267366;-38.13080360867914
1739209868.4267397;-45.120503652039325
1739209868.4267428;-45.120503652039325
1739209868.426746;-45.120503652039325
1739209868.426749;-38.13080360867914
1739209868.426752;-32.816014438256545
1739209868.4267552;-45.120503652039325
1739209868.426758;-45.120503652039325
1739209868.4267612;-45.120503652039325
1739209868.4267642;-38.13080360867914
1739209868.4267673;-45.120503652039325
1739209868.4267704;-45.120503652039325
1739209868.4267735;-35.57807855764607
1739209868.4267766;-45.120503652039325
1739209868.4267797;-45.120503652039325
1739209868.4267826;-45.120503652039325
1739209868.4267857;-45.120503652039325
1739209868.4267888;-45.120503652039325
1739209868.426792;-38.13080360867914
1739209868.426795;-38.13080360867914
1739209868.426798;-45.120503652039325
1739209868.4268012;-45.120503652039325
1739209868.4268043;-38.13080360867914
1739209868.4268074;-45.120503652039325
1739209868.4268103;-38.13080360867914
1739209868.4268134;-45.120503652039325
1739209868.4268165;-38.13080360867914
1739209868.4268196;-38.13080360867914
1739209868.4268227;-33.981070128970906
1739209868.4268258;-45.120503652039325
1739209868.4268289;-33.981070128970906
1739209868.426832;-32.816014438256545
1739209868.4268348;-28.58837851428586
1739209868.426838;-29.438486411369333
1739209868.426841;-23.506823629689542
1739209868.4268441;-38.13080360867914
1739209868.4268472;-45.120503652039325
1739209868.4268503;-31.141103565318915
1739209868.4268534;-28.992665084841942
1739209868.4268565;-45.120503652039325
1739209868.4268596;-45.120503652039325
1739209868.4268625;-28.992665084841967
1739209868.4268656;-38.13080360867914
1739209868.4268687;-45.120503652039325
1739209868.4268718;-35.57807855764607
1739209868.4268749;-45.120503652039325
1739209868.426878;-33.981070128970906
1739209868.426881;-30.49652367304973
1739209868.4268842;-38.13080360867914
1739209868.426887;-28.992665084841967
1739209868.4268901;-32.816014438256545
1739209868.4268932;-28.58837851428586
1739209868.4268963;-31.141103565318943
1739209868.4268994;-27.877744956031414
1739209868.4269025;-31.141103565318915
1739209868.4269056;-33.981070128970906
1739209868.4269087;-45.120503652039325
1739209868.4269118;-31.141103565318915
1739209868.4269147;-33.981070128970906
1739209868.4269178;-38.13080360867914
1739209868.426921;-32.816014438256545
1739209868.426924;-25.826314394896357
1739209868.426927;-33.981070128970906
1739209868.4269302;-33.981070128970906
1739209868.4269333;-32.81601443825658
1739209868.4269364;-32.81601443825658
1739209868.4269392;-33.981070128970906
