CAN Message; 0x150:04008a6e797ebd91
Timestamp;Amplitude
1739209704.3439984;-45.120503652039325
1739209704.344002;-38.13080360867914
1739209704.3440058;-38.13080360867914
1739209704.3440094;-45.120503652039325
1739209704.344013;-45.120503652039325
1739209704.3440168;-45.120503652039325
1739209704.3440204;-33.981070128970906
1739209704.344024;-38.13080360867914
1739209704.3440278;-38.13080360867914
1739209704.3440313;-38.13080360867914
1739209704.344035;-38.13080360867914
1739209704.3440387;-38.13080360867914
1739209704.3440423;-35.57807855764607
1739209704.3440459;-38.13080360867914
1739209704.3440497;-33.981070128970906
1739209704.3440533;-45.120503652039325
1739209704.344057;-38.13080360867914
1739209704.3440607;-38.13080360867914
1739209704.3440642;-38.13080360867914
1739209704.344068;-35.57807855764607
1739209704.3440716;-38.13080360867914
1739209704.3440752;-45.120503652039325
1739209704.344079;-32.81601443825658
1739209704.3440826;-38.13080360867914
1739209704.3440862;-45.120503652039325
1739209704.34409;-45.120503652039325
1739209704.3440936;-45.120503652039325
1739209704.3440971;-45.120503652039325
1739209704.344101;-45.120503652039325
1739209704.3441045;-45.120503652039325
1739209704.3441083;-27.267205301931607
1739209704.344112;-38.13080360867914
1739209704.3441155;-45.120503652039325
1739209704.3441193;-45.120503652039325
1739209704.344123;-33.981070128970906
1739209704.3441265;-38.13080360867914
1739209704.3441303;-45.120503652039325
1739209704.3441339;-38.13080360867914
1739209704.3441374;-38.13080360867914
1739209704.3441412;-38.13080360867914
1739209704.3441448;-45.120503652039325
1739209704.3441484;-38.13080360867914
1739209704.3441522;-38.13080360867914
1739209704.3441558;-38.13080360867914
1739209704.3441594;-45.120503652039325
1739209704.3441632;-45.120503652039325
1739209704.3441668;-45.120503652039325
1739209704.3441706;-45.120503652039325
1739209704.3441741;-38.13080360867914
1739209704.3441777;-45.120503652039325
1739209704.3441815;-45.120503652039325
1739209704.344185;-45.120503652039325
1739209704.3441887;-45.120503652039325
1739209704.3441925;-45.120503652039325
1739209704.344196;-45.120503652039325
1739209704.3441997;-35.57807855764607
